CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,NB_Attrition_Prob_Yes,NB_Attrition_Prob_No,Churn_Type,annual_income,monthly_income,DTI_ratio,DTI_Risk_Level,Credit_Score,Loan_Default_Flag,Number_of_Defaults,Last_Default_Date,Default_Amount,Bankruptcy_History,Bankruptcy_Flag,Adjusted_Credit_Score,Moodys_Rating,Payment_History_Flag,Payment_Risk,estimated_annual_revenue
771795933,Attrited Customer,49,M,4,,Single,$120K +,Blue,38,3,3,4,34516.0,2517,31999.0,0.7,2376,55,0.486,0.073,0.99832,0.00167742,Involuntary,198760,16563.333333333332,15.196216542563898,Low Risk,582.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,582.0,B,bad,bad,553.4000000000001
751518633,Attrited Customer,48,M,5,Post-Graduate,Single,$120K +,Silver,41,5,3,1,34516.0,2517,31999.0,0.553,2260,50,0.786,0.073,0.99167,0.00833,Involuntary,136406,11367.166666666666,22.142720994677656,Low Risk,529.0,0,0,1900-01-01 00:00:00.000000,0.0,Yes,1,379.0,C,bad,bad,553.4000000000001
710662158,Existing Customer,41,M,4,,Married,$120K +,Blue,34,1,3,3,34516.0,2517,31999.0,0.434,2051,41,1.05,0.073,0.00034872,0.99965,Existing Customer,182539,15211.583333333334,16.546601000334174,Low Risk,671.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,671.0,Baa,good,good,553.4000000000001
708672708,Existing Customer,49,M,4,High School,,$80K - $120K,Blue,31,2,3,3,34516.0,2517,31999.0,0.71,3990,65,1.031,0.073,0.00030842,0.99969,Existing Customer,82672,6889.333333333333,36.53473969421328,Medium Risk,764.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,764.0,Aa,good,good,553.4000000000001
789363408,Existing Customer,44,M,3,High School,Married,$120K +,Silver,34,3,1,2,34516.0,2517,31999.0,0.814,7427,83,0.566,0.073,5.02e-05,0.99995,Existing Customer,198106,16508.833333333332,15.24638324937155,Low Risk,637.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,637.0,Ba,good,good,553.4000000000001
718665933,Existing Customer,43,M,3,,Divorced,$120K +,Blue,30,3,1,2,34516.0,2517,31999.0,0.77,7437,86,0.623,0.073,6.28e-05,0.99994,Existing Customer,153797,12816.416666666666,19.638874620441232,Low Risk,649.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,649.0,Ba,good,good,553.4000000000001
719178183,Existing Customer,50,M,2,Graduate,Married,$80K - $120K,Silver,42,2,3,3,34516.0,2517,31999.0,0.759,8186,85,0.635,0.073,0.00027334,0.99973,Existing Customer,117143,9761.916666666666,25.783870995279273,Low Risk,701.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,701.0,A,good,good,553.4000000000001
716704158,Existing Customer,50,M,1,Doctorate,Married,$120K +,Blue,39,2,3,2,34516.0,2517,31999.0,0.778,8087,86,0.509,0.073,0.00024431,0.99976,Existing Customer,136776,11398.0,22.082821547639934,Low Risk,680.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,680.0,Baa,good,good,553.4000000000001
714510483,Existing Customer,44,M,3,Graduate,Single,$80K - $120K,Gold,36,2,3,3,34516.0,2517,31999.0,0.703,7640,87,0.582,0.073,0.00036164,0.99964,Existing Customer,116285,9690.416666666666,25.974115320118674,Low Risk,699.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,699.0,Baa,good,good,553.4000000000001
711436983,Existing Customer,57,M,3,,Single,$120K +,Silver,49,1,2,1,34516.0,2517,31999.0,0.693,8596,102,0.672,0.073,7.07e-05,0.99993,Existing Customer,168962,14080.166666666666,17.876208851694464,Low Risk,807.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,807.0,Aaa,good,good,553.4000000000001
714391683,Attrited Customer,39,M,4,,Married,$60K - $80K,Gold,36,4,3,2,34516.0,2517,31999.0,0.841,8248,66,0.65,0.073,0.99583,0.00416767,Voluntary,67501,5625.083333333333,44.746003762907215,Medium Risk,678.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,678.0,Baa,good,good,553.4000000000001
713390433,Attrited Customer,44,M,3,Graduate,,$60K - $80K,Gold,29,2,3,2,34516.0,2517,31999.0,0.579,6782,67,0.763,0.073,0.99537,0.00462792,Involuntary,68675,5722.916666666667,43.98107025846378,Medium Risk,464.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,464.0,Ca,good,good,553.4000000000001
715321008,Attrited Customer,39,M,2,,Married,$120K +,Blue,36,6,3,3,34516.0,2517,31999.0,1.052,7866,63,0.75,0.073,0.997,0.00299743,Involuntary,163817,13651.416666666666,18.437646886464776,Low Risk,690.0,0,0,1900-01-01 00:00:00.000000,0.0,Yes,1,540.0,Caa,bad,bad,553.4000000000001
712841883,Attrited Customer,50,M,3,College,Single,$80K - $120K,Silver,36,3,3,2,34516.0,2517,31999.0,0.735,7155,66,0.65,0.073,0.99394,0.00606,Involuntary,84923,7076.916666666667,35.56633656371066,Low Risk,477.0,0,0,1900-01-01 00:00:00.000000,0.0,Yes,1,327.0,C,bad,bad,553.4000000000001
710178558,Attrited Customer,46,M,2,High School,Married,$60K - $80K,Gold,38,5,3,6,34516.0,2517,31999.0,0.956,9314,89,0.978,0.073,0.99943,0.00056902,Voluntary,76311,6359.25,39.58013916735464,Medium Risk,598.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,598.0,B,good,good,553.4000000000001
789105183,Existing Customer,54,M,3,Post-Graduate,Single,$80K - $120K,Silver,42,3,1,2,34516.0,2488,32028.0,0.552,4401,87,0.776,0.072,6.08e-05,0.99994,Existing Customer,112854,9404.5,26.455420277526713,Low Risk,843.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,843.0,Aaa,good,good,547.6
715839708,Existing Customer,51,M,1,Graduate,Married,$120K +,Blue,39,2,3,2,34516.0,2452,32064.0,0.707,7111,82,0.608,0.071,0.00016883,0.99983,Existing Customer,194446,16203.833333333334,15.132221799368462,Low Risk,741.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,741.0,A,good,good,540.4000000000001
712268808,Existing Customer,55,M,4,Graduate,Single,$120K +,Silver,36,2,2,3,34516.0,2443,32073.0,0.827,8765,105,0.721,0.071,0.00018141,0.99982,Existing Customer,183197,15266.416666666666,16.002445454892822,Low Risk,826.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,826.0,Aaa,good,good,538.6
709826058,Existing Customer,49,M,2,,Married,$80K - $120K,Blue,36,3,1,1,34516.0,2435,32081.0,0.732,1805,34,0.619,0.071,3.65e-05,0.99996,Existing Customer,101216,8434.666666666666,28.868953525134366,Low Risk,710.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,710.0,A,good,good,537.0
713916708,Existing Customer,53,M,3,Graduate,Single,$120K +,Gold,43,3,1,3,34516.0,2435,32081.0,0.77,7758,98,0.719,0.071,0.00011075,0.99989,Existing Customer,122229,10185.75,23.905947033846306,Low Risk,571.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,571.0,B,good,good,537.0
715749108,Existing Customer,48,M,3,Graduate,Married,$60K - $80K,Gold,37,5,1,2,34516.0,2429,32087.0,0.742,3205,57,0.727,0.07,6.58e-05,0.99993,Existing Customer,62469,5205.75,46.65994333189262,Medium Risk,802.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,802.0,Aaa,good,good,535.8
770560683,Existing Customer,51,M,1,Graduate,Married,$120K +,Gold,37,2,3,1,34516.0,2417,32099.0,0.947,13021,117,0.625,0.07,0.00011731,0.99988,Existing Customer,159364,13280.333333333334,18.199844381416128,Low Risk,785.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,785.0,Aa,good,good,533.4000000000001
721243083,Attrited Customer,55,M,3,Uneducated,Divorced,$80K - $120K,Blue,41,1,3,4,34516.0,2408,32108.0,0.796,1187,40,0.6,0.07,0.99819,0.00181217,Involuntary,82248,6854.0,35.13276918587686,Low Risk,672.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,672.0,Baa,good,good,531.6
720323208,Existing Customer,43,M,2,Graduate,Married,$120K +,Silver,31,6,2,4,34516.0,2398,32118.0,0.917,4976,88,0.692,0.069,0.00029507,0.9997,Existing Customer,136966,11413.833333333334,21.009593621774748,Low Risk,598.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,598.0,B,good,good,529.6
718851783,Existing Customer,49,M,1,High School,Married,$80K - $120K,Silver,37,4,3,2,34516.0,2386,32130.0,0.698,3924,65,0.512,0.069,0.0001483,0.99985,Existing Customer,116887,9740.583333333334,24.495452873287874,Low Risk,608.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,608.0,Ba,good,good,527.2
815353083,Attrited Customer,44,M,1,College,Divorced,$80K - $120K,Silver,39,2,3,2,34516.0,2361,32155.0,0.529,1853,36,0.385,0.068,0.9933,0.0067,Involuntary,113640,9470.0,24.931362196409715,Low Risk,472.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,472.0,Ca,good,good,522.2
709066983,Existing Customer,50,M,4,High School,Married,$120K +,Blue,41,2,2,2,34516.0,2353,32163.0,0.667,15214,129,0.675,0.068,0.00011604,0.99988,Existing Customer,183989,15332.416666666666,15.346569631880167,Low Risk,719.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,719.0,A,good,good,520.6
779885358,Existing Customer,51,M,0,College,Married,$120K +,Silver,35,5,1,2,34516.0,2332,32184.0,0.8,4587,82,0.745,0.068,4.15e-05,0.99996,Existing Customer,155151,12929.25,18.03662238722277,Low Risk,737.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,737.0,A,good,good,516.4000000000001
720412308,Existing Customer,40,M,4,,Married,$80K - $120K,Blue,36,2,1,1,34516.0,2330,32186.0,0.693,7635,75,0.667,0.068,3.83e-05,0.99996,Existing Customer,104548,8712.333333333334,26.743696675211385,Low Risk,820.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,820.0,Aaa,good,good,516.0
713671158,Existing Customer,46,M,2,Uneducated,Single,$120K +,Blue,32,2,3,1,34516.0,2328,32188.0,0.855,15754,121,0.729,0.067,0.00011153,0.99989,Existing Customer,146068,12172.333333333334,19.12533888325985,Low Risk,739.0,1,2,2024-05-13 22:36:53.078450,19065.01,No,0,739.0,A,good,good,515.6
714199983,Existing Customer,48,M,3,Uneducated,Single,$60K - $80K,Gold,40,5,2,5,34516.0,2317,32199.0,0.699,3927,68,0.7,0.067,0.00069441,0.99931,Existing Customer,74222,6185.166666666667,37.460591199374846,Medium Risk,724.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,724.0,A,good,good,513.4000000000001
716864733,Existing Customer,47,M,3,College,Married,$120K +,Silver,27,6,3,3,34516.0,2315,32201.0,0.599,1805,46,0.704,0.067,0.00027576,0.99972,Existing Customer,133887,11157.25,20.7488404400726,Low Risk,600.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,600.0,Ba,good,good,513.0
788890533,Existing Customer,54,M,2,College,Married,$80K - $120K,Silver,39,4,1,4,34516.0,2305,32211.0,0.586,13756,106,0.71,0.067,0.00013883,0.99986,Existing Customer,86897,7241.416666666667,31.830788174505447,Low Risk,604.0,1,5,2020-12-04 22:36:53.078461,13552.78,No,0,604.0,Ba,good,good,511.0
787921383,Attrited Customer,53,M,0,High School,Single,$120K +,Silver,44,2,4,4,34516.0,2297,32219.0,0.416,1461,43,0.536,0.067,0.99788,0.0021218,Involuntary,164278,13689.833333333334,16.778874834122647,Low Risk,689.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,689.0,Baa,good,good,509.40000000000003
751166508,Existing Customer,57,M,3,Post-Graduate,Single,$80K - $120K,Blue,50,3,1,1,34516.0,2293,32223.0,0.799,14287,114,0.754,0.066,4.06e-05,0.99996,Existing Customer,81094,6757.833333333333,33.930993661676574,Low Risk,793.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,793.0,Aa,good,good,508.6
714959358,Attrited Customer,50,M,3,High School,Married,$80K - $120K,Silver,36,5,3,3,34516.0,2292,32224.0,0.876,8045,71,0.868,0.066,0.99639,0.00361254,Voluntary,84487,7040.583333333333,32.55412075230509,Low Risk,713.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,713.0,A,good,good,508.40000000000003
720422358,Existing Customer,42,M,1,Post-Graduate,Single,$60K - $80K,Gold,36,1,1,2,34516.0,2276,32240.0,0.767,7485,90,0.552,0.066,7.01e-05,0.99993,Existing Customer,74314,6192.833333333333,36.752159754554995,Medium Risk,680.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,680.0,Baa,good,good,505.20000000000005
807030858,Existing Customer,51,M,4,High School,Single,$120K +,Blue,46,6,3,3,34516.0,2274,32242.0,0.788,1795,47,0.679,0.066,0.00030842,0.99969,Existing Customer,171447,14287.25,15.916288998932615,Low Risk,684.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,684.0,Baa,good,good,504.8
826451433,Existing Customer,42,M,4,Graduate,Single,$80K - $120K,Silver,38,2,1,3,34516.0,2273,32243.0,0.86,8502,103,0.717,0.066,8.78e-05,0.99991,Existing Customer,95269,7939.083333333333,28.6305093996998,Low Risk,570.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,570.0,B,good,good,504.6
810347208,Existing Customer,51,M,4,,Married,$120K +,Gold,46,6,1,3,34516.0,2264,32252.0,1.975,1330,31,0.722,0.066,0.00012303,0.99988,Existing Customer,141555,11796.25,19.19254000211932,Low Risk,716.0,1,3,2023-06-18 22:36:53.078473,17112.78,No,0,716.0,A,good,good,502.8
712029783,Existing Customer,42,M,4,Uneducated,Single,$80K - $120K,Silver,36,2,2,1,34516.0,2253,32263.0,0.853,7836,93,0.603,0.065,6.69e-05,0.99993,Existing Customer,98689,8224.083333333334,27.39515042203285,Low Risk,823.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,823.0,Aaa,good,good,500.6
715601808,Existing Customer,50,M,3,Graduate,Married,$120K +,Blue,41,4,2,3,34516.0,2253,32263.0,1.032,16692,131,0.795,0.065,0.00019864,0.9998,Existing Customer,141988,11832.333333333334,19.041045722173706,Low Risk,638.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,638.0,Ba,good,good,500.6
716758908,Existing Customer,46,M,3,Uneducated,Single,$120K +,Blue,27,4,2,3,34516.0,2213,32303.0,0.584,4492,71,0.821,0.064,0.00020424,0.9998,Existing Customer,178931,14910.916666666666,14.841475205526153,Low Risk,563.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,563.0,B,good,good,492.6
714465558,Existing Customer,41,M,4,,Married,$120K +,Silver,36,3,1,4,34516.0,2205,32311.0,0.897,15033,98,0.922,0.064,0.00016461,0.99984,Existing Customer,198162,16513.5,13.352711417930784,Low Risk,791.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,791.0,Aa,good,good,491.0
713475633,Existing Customer,40,M,5,,Single,$120K +,Silver,31,1,3,3,34516.0,2203,32313.0,0.728,14204,96,0.92,0.064,0.00031018,0.99969,Existing Customer,197497,16458.083333333332,13.385519780047291,Low Risk,814.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,814.0,Aaa,good,good,490.6
710047533,Attrited Customer,51,M,3,Graduate,Single,$80K - $120K,Gold,36,4,3,3,34516.0,2201,32315.0,0.978,8614,63,0.75,0.064,0.99724,0.00275658,Involuntary,86769,7230.75,30.439442658092176,Low Risk,558.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,558.0,B,bad,bad,490.20000000000005
719991783,Existing Customer,40,M,2,High School,Married,$80K - $120K,Silver,36,5,3,0,34516.0,2183,32333.0,0.739,3644,67,0.634,0.063,5.83e-05,0.99994,Existing Customer,114870,9572.5,22.80490989814573,Low Risk,602.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,602.0,Ba,good,good,486.6
720214833,Existing Customer,52,M,2,High School,Single,$80K - $120K,Silver,40,3,3,3,34516.0,2177,32339.0,1.32,1234,23,1.875,0.063,0.00026573,0.99973,Existing Customer,111348,9279.0,23.46157991162841,Low Risk,641.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,641.0,Ba,good,good,485.40000000000003
715383108,Existing Customer,52,M,2,Graduate,Single,$120K +,Blue,44,5,1,1,34516.0,2174,32342.0,0.426,1616,50,0.515,0.063,3.32e-05,0.99997,Existing Customer,123852,10321.0,21.06385040209282,Low Risk,813.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,813.0,Aaa,good,good,484.8
719554758,Existing Customer,46,M,2,Uneducated,Married,$80K - $120K,Blue,38,6,3,2,34516.0,2165,32351.0,0.837,1672,32,0.524,0.063,0.00018494,0.99982,Existing Customer,99288,8274.0,26.166304085085812,Low Risk,584.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,584.0,B,good,good,483.0
708697983,Existing Customer,56,M,0,High School,,$120K +,Blue,49,2,2,2,34516.0,2156,32360.0,0.698,8766,78,0.814,0.062,9.5e-05,0.99991,Existing Customer,121453,10121.083333333334,21.302067466427342,Low Risk,755.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,755.0,Aa,good,good,481.20000000000005
710106933,Existing Customer,32,M,2,Uneducated,Single,$80K - $120K,Silver,20,2,3,3,34516.0,2136,32380.0,0.849,14667,119,0.75,0.062,0.00028105,0.99972,Existing Customer,105454,8787.833333333334,24.30633261896182,Low Risk,630.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,630.0,Ba,good,good,477.20000000000005
809358708,Existing Customer,38,M,3,,Single,$80K - $120K,Blue,33,6,2,2,34516.0,2135,32381.0,0.488,3514,63,0.703,0.062,0.00012982,0.99987,Existing Customer,109048,9087.333333333334,23.49424106815347,Low Risk,599.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,599.0,B,good,good,477.0
712797258,Existing Customer,43,M,3,Graduate,Married,$120K +,Blue,33,3,1,3,34516.0,2129,32387.0,0.587,1463,38,0.583,0.062,9.61e-05,0.9999,Existing Customer,177730,14810.833333333334,14.374613177291396,Low Risk,551.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,551.0,B,good,good,475.8
817908783,Existing Customer,44,M,3,,Single,$120K +,Silver,39,2,3,1,34516.0,2123,32393.0,0.801,14242,107,0.551,0.062,0.0001118,0.99989,Existing Customer,171586,14298.833333333334,14.847365169652535,Low Risk,603.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,603.0,Ba,good,good,474.6
789289383,Existing Customer,42,M,3,Graduate,Single,$80K - $120K,Silver,31,2,2,3,34516.0,2120,32396.0,0.9,14626,97,0.644,0.061,0.00017949,0.99982,Existing Customer,111912,9326.0,22.732146686682395,Low Risk,655.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,655.0,Baa,good,good,474.0
827332983,Existing Customer,46,M,3,High School,Single,$80K - $120K,Gold,42,3,2,2,34516.0,2113,32403.0,0.618,1362,31,1.214,0.061,0.00013228,0.99987,Existing Customer,100903,8408.583333333334,25.129084368155553,Low Risk,809.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,809.0,Aaa,good,good,472.6
780707733,Existing Customer,41,M,1,Graduate,Married,$80K - $120K,Blue,30,3,3,2,34516.0,2109,32407.0,0.703,6832,87,0.706,0.061,0.00016883,0.99983,Existing Customer,113554,9462.833333333334,22.287193758035823,Low Risk,740.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,740.0,A,good,good,471.8
712003083,Existing Customer,55,M,1,Graduate,Married,$80K - $120K,Blue,36,3,2,4,34516.0,2102,32414.0,0.912,1612,33,0.737,0.061,0.00030653,0.99969,Existing Customer,92564,7713.666666666667,27.25033490341817,Low Risk,767.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,767.0,Aa,good,good,470.40000000000003
821836008,Existing Customer,57,M,2,Uneducated,Single,$80K - $120K,Blue,53,5,2,4,34516.0,2099,32417.0,0.629,1233,26,0.857,0.061,0.00033577,0.99966,Existing Customer,83219,6934.916666666667,30.267126497554642,Low Risk,593.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,593.0,B,good,good,469.8
711835758,Existing Customer,50,M,3,Graduate,Married,$120K +,Blue,42,4,5,3,34516.0,2099,32417.0,0.449,1756,35,0.25,0.061,0.0003506,0.99965,Existing Customer,135195,11266.25,18.630866526128926,Low Risk,711.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,711.0,A,good,good,469.8
779852133,Existing Customer,48,M,2,,Married,$120K +,Silver,32,3,2,4,34516.0,2098,32418.0,0.741,3093,66,0.784,0.061,0.00032434,0.99968,Existing Customer,127258,10604.833333333334,19.783432082855303,Low Risk,751.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,751.0,Aa,good,good,469.6
717521508,Existing Customer,41,M,3,High School,Single,$80K - $120K,Gold,28,2,2,0,34516.0,2098,32418.0,0.746,6932,87,0.526,0.061,4.88e-05,0.99995,Existing Customer,86699,7224.916666666667,29.038397213347327,Low Risk,819.0,0,0,1900-01-01 00:00:00.000000,0.0,Yes,1,669.0,Baa,bad,bad,469.6
717370533,Existing Customer,40,M,3,Post-Graduate,Single,$120K +,Blue,26,1,2,1,34516.0,2088,32428.0,0.627,6453,89,0.589,0.06,8.38e-05,0.99992,Existing Customer,154541,12878.416666666666,16.213173203227623,Low Risk,820.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,820.0,Aaa,good,good,467.6
779685558,Existing Customer,53,M,5,Graduate,Single,$120K +,Gold,36,2,4,1,34516.0,2088,32428.0,0.822,15290,123,0.732,0.06,0.00015593,0.99984,Existing Customer,138426,11535.5,18.100645832430324,Low Risk,764.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,764.0,Aa,good,good,467.6
712372158,Existing Customer,45,M,4,,Married,$120K +,Blue,33,6,1,3,34516.0,2086,32430.0,0.986,1859,47,0.958,0.06,0.00010679,0.99989,Existing Customer,178968,14914.0,13.986857985785168,Low Risk,801.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,801.0,Aaa,good,good,467.20000000000005
713600958,Existing Customer,50,M,1,,Married,$120K +,Blue,38,4,5,3,34516.0,2076,32440.0,0.812,3647,65,0.667,0.06,0.00034859,0.99965,Existing Customer,176321,14693.416666666666,14.128776492873794,Low Risk,739.0,1,5,2023-02-16 22:36:53.078483,9825.88,No,0,739.0,A,good,good,465.20000000000005
794494308,Existing Customer,42,M,3,Uneducated,Married,$120K +,Platinum,23,3,4,3,34516.0,2070,32446.0,0.88,13781,102,0.545,0.06,0.00067743,0.99932,Existing Customer,164532,13711.0,15.097367077528991,Low Risk,845.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,845.0,Aaa,good,good,464.0
779749908,Existing Customer,48,M,4,College,Married,$60K - $80K,Gold,33,2,2,3,34516.0,2061,32455.0,0.722,1350,32,0.455,0.06,0.00022488,0.99978,Existing Customer,74506,6208.833333333333,33.19464204225163,Low Risk,762.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,762.0,Aa,good,good,462.20000000000005
713977308,Existing Customer,62,M,1,Graduate,Single,$120K +,Blue,53,4,3,4,34516.0,2061,32455.0,0.564,3820,76,0.767,0.06,0.00048435,0.99952,Existing Customer,176760,14730.0,13.991853360488799,Low Risk,757.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,757.0,Aa,good,good,462.20000000000005
