CLIENTNUM,review,date,City,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,NB_Attrition_Prob_Yes,NB_Attrition_Prob_No,Churn_Type,annual_income,monthly_income,DTI_ratio,DTI_Risk_Level,Credit_Score,Loan_Default_Flag,Number_of_Defaults,Last_Default_Date,Default_Amount,Bankruptcy_History,Bankruptcy_Flag,Adjusted_Credit_Score,Moodys_Rating,Payment_History_Flag,Payment_Risk,estimated_annual_revenue,sentiment_result,sentiment_label,sentiment_score,sentiment_numeric,review_lower,category,nps_category,nps_summary,nps_value
816378033,They are awful & no manners or sympathy. They talk down to you & have arrogant attitude.,21-May-25,Medicine Hat,Attrited Customer,46,M,4,Uneducated,Single,$80K - $120K,Gold,41,6,3,2,34516.0,1104,33412.0,0.591,1989,47,0.741,0.032,0.99555,0.00445417,Involuntary,103441,8620.083333333334,12.80730078015487,Low Risk,591.0,0,0,1900-01-01 00:00:00.000000,0.0,Yes,1,441.0,Ca,bad,bad,270.8,"{'label': 'NEGATIVE', 'score': 0.9993801116943359}",NEGATIVE,0.9993801116943359,-0.9993801116943359,they are awful & no manners or sympathy. they talk down to you & have arrogant attitude.,Other,Detractor,93.66812227074236,0
819943458,"Argos have not been the same sine the takeover . I have an Argos card and have done for years but, now they have changed their credit terms i will not be using them again . My card is now cut up and in the bin .",14-May-25,Medicine Hat,Attrited Customer,57,M,3,Graduate,Single,$120K +,Blue,52,6,4,3,34516.0,1000,33516.0,0.694,1777,37,0.542,0.029,0.99737,0.0026282,Involuntary,186543,15545.25,6.432833180553545,Low Risk,477.0,1,3,2022-05-13 22:36:53.079088,19253.04,No,0,477.0,Ca,bad,bad,250.0,"{'label': 'NEGATIVE', 'score': 0.9994075298309326}",NEGATIVE,0.9994075298309326,-0.9994075298309326,"argos have not been the same sine the takeover . i have an argos card and have done for years but, now they have changed their credit terms i will not be using them again . my card is now cut up and in the bin .",Other,Detractor,93.66812227074236,0
770968383,"WOULD GIVE MINUS POINTS . CUSTOMER SERVICE AWFUL . THEY DO NOT HELP THE CUSTOMER AT ALL . THEY HAVE ZERO RESPECT FOR THE CUSTOMER . NO SUPPORT GIVEN WHEN ISSUES HAPPEN , NO RESPONSIBILITY TAKEN . THE WHOLE EXPERIENCE IS DIFFICULT TO DEAL WITH . HOPEFULLY PAYING OFF IN THE NEXT MONTH . PLEASE AVOID .",22-Feb-25,Brooks,Attrited Customer,41,M,4,Graduate,Married,$80K - $120K,Silver,28,3,2,3,34516.0,825,33691.0,0.616,2022,52,0.733,0.024,0.99452,0.00548,Involuntary,106052,8837.666666666666,9.335043186361409,Low Risk,491.0,1,1,2024-05-30 22:36:53.079183,5862.94,No,0,491.0,Ca,bad,bad,215.0,"{'label': 'NEGATIVE', 'score': 0.999675989151001}",NEGATIVE,0.999675989151001,-0.999675989151001,"would give minus points . customer service awful . they do not help the customer at all . they have zero respect for the customer . no support given when issues happen , no responsibility taken . the whole experience is difficult to deal with . hopefully paying off in the next month . please avoid .",Poor Customer Service,Detractor,93.66812227074236,0
715319958,"This card is good but Argoscard are really missing a few tricks to make so much modern and usable a few changes would make it great, like being able to use to pay online with Argos and Sainsburys online shopping if it had this it would be spot on at the moment it is very limited.",15-Apr-25,Charlottetown,Attrited Customer,48,M,3,Uneducated,Married,$120K +,Blue,36,5,2,4,34516.0,787,33729.0,0.763,1312,32,0.6,0.023,0.99714,0.00286097,Involuntary,139044,11587.0,6.792094588763269,Low Risk,548.0,0,0,1900-01-01 00:00:00.000000,0.0,Yes,1,398.0,C,bad,bad,207.4,"{'label': 'NEGATIVE', 'score': 0.9964285492897034}",NEGATIVE,0.9964285492897034,-0.9964285492897034,"this card is good but argoscard are really missing a few tricks to make so much modern and usable a few changes would make it great, like being able to use to pay online with argos and sainsburys online shopping if it had this it would be spot on at the moment it is very limited.",Positive Experience,Detractor,93.66812227074236,0
708948483,While the card is good and the deals are great they're money stealing criminals!!,31-Mar-25,Dauphin,Attrited Customer,54,M,3,Graduate,Married,$80K - $120K,Silver,36,2,3,1,34516.0,761,33755.0,0.838,8444,68,0.744,0.022,0.99026,0.00974,Involuntary,107425,8952.083333333334,8.500814521759366,Low Risk,510.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,510.0,Caa,good,good,202.2,"{'label': 'POSITIVE', 'score': 0.9608615040779114}",POSITIVE,0.9608615040779114,0.9608615040779114,while the card is good and the deals are great they're money stealing criminals!!,Positive Experience,Promoter,6.331877729257641,0
811700058,Need to pay off normal credit with interest coming soon as £100+ so I pay that and it goes to another buy now pay later plan. So now I have to give them more. Now I'm massively in debt.,31-Mar-25,Red Deer,Attrited Customer,41,M,2,Graduate,Single,$60K - $80K,Gold,36,2,3,3,34516.0,687,33829.0,1.015,4822,57,0.295,0.02,0.99714,0.00286013,Involuntary,76215,6351.25,10.81676835268648,Low Risk,513.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,513.0,Caa,bad,bad,187.4,"{'label': 'NEGATIVE', 'score': 0.9990772008895874}",NEGATIVE,0.9990772008895874,-0.9990772008895874,need to pay off normal credit with interest coming soon as £100+ so i pay that and it goes to another buy now pay later plan. so now i have to give them more. now i'm massively in debt.,Other,Detractor,93.66812227074236,0
716863458,"I've had an argos card for many years but recently I've notice they don't apply your payment correctly I mostly buy on bnpl and clear it in time the odd occasion I've had to put things, on normal credit, now when you pay your minimum payment amount or more they actually take it off the bnpl and not normal credit so they can put interest on for the next month for example I recently paid the full amount on the normal credit because they say I will incur £100 plus interest the following month but then I look on my statement to see they deducted that from a bnpl which ends in 4months! So I rang and as usual you can't speak to anyone. And I pay interest! So warning NEVER EVER use your argos card on a normal credit try to do it bnpl or not at all they scam you out of 100s unnecessarily!! Lesson learnt for me! ??",29-Mar-25,Halifax,Attrited Customer,44,M,2,Uneducated,Single,$80K - $120K,Silver,36,2,3,3,34516.0,569,33947.0,0.919,8570,68,0.789,0.016,0.99646,0.00354449,Involuntary,102647,8553.916666666666,6.651923582764232,Low Risk,480.0,1,3,2023-05-24 22:36:53.079246,10678.36,No,0,480.0,Ca,good,good,163.8,"{'label': 'NEGATIVE', 'score': 0.9977080821990967}",NEGATIVE,0.9977080821990967,-0.9977080821990967,"i've had an argos card for many years but recently i've notice they don't apply your payment correctly i mostly buy on bnpl and clear it in time the odd occasion i've had to put things, on normal credit, now when you pay your minimum payment amount or more they actually take it off the bnpl and not normal credit so they can put interest on for the next month for example i recently paid the full amount on the normal credit because they say i will incur £100 plus interest the following month but then i look on my statement to see they deducted that from a bnpl which ends in 4months! so i rang and as usual you can't speak to anyone. and i pay interest! so warning never ever use your argos card on a normal credit try to do it bnpl or not at all they scam you out of 100s unnecessarily!! lesson learnt for me! ??",Other,Detractor,93.66812227074236,0
714145233,People should start a class action lawsuit and take Argos to court!,22-Mar-25,Regina,Attrited Customer,34,M,0,Graduate,Divorced,$80K - $120K,Silver,24,1,2,3,34516.0,400,34116.0,0.202,5112,49,0.256,0.012,0.99331,0.00669,Voluntary,87526,7293.833333333333,5.484084729109065,Low Risk,676.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,676.0,Baa,good,good,130.0,"{'label': 'NEGATIVE', 'score': 0.9955251812934875}",NEGATIVE,0.9955251812934875,-0.9955251812934875,people should start a class action lawsuit and take argos to court!,Other,Detractor,93.66812227074236,0
715830558,The Argos credit card is hopeless and dangerous especially if someone has a good credit history or not.,22-Mar-25,Camrose,Attrited Customer,50,M,2,Uneducated,,$120K +,Blue,38,6,2,1,34516.0,397,34119.0,0.914,7454,81,0.841,0.012,0.98603,0.01397,Involuntary,166715,13892.916666666666,2.8575713043217466,Low Risk,459.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,459.0,Ca,good,good,129.4,"{'label': 'NEGATIVE', 'score': 0.999700665473938}",NEGATIVE,0.999700665473938,-0.999700665473938,the argos credit card is hopeless and dangerous especially if someone has a good credit history or not.,Other,Detractor,93.66812227074236,0
813053733,I would get in trouble for applying for an Argos credit card.,22-Mar-25,Truro,Attrited Customer,53,M,4,,Single,$120K +,Blue,48,3,3,4,34516.0,278,34238.0,0.817,3029,49,0.4,0.008,0.99832,0.00167742,Voluntary,179003,14916.916666666666,1.8636559163812896,Low Risk,783.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,783.0,Aa,good,good,105.6,"{'label': 'NEGATIVE', 'score': 0.9985700845718384}",NEGATIVE,0.9985700845718384,-0.9985700845718384,i would get in trouble for applying for an argos credit card.,Other,Detractor,93.66812227074236,0
718812708,After reading all the reviews I was put off by the thought of applying.,22-Mar-25,Truro,Attrited Customer,57,M,2,Graduate,Single,$120K +,Blue,44,5,3,4,34516.0,219,34297.0,0.482,1882,48,0.714,0.006,0.99807,0.00193323,Involuntary,180288,15024.0,1.457667731629393,Low Risk,654.0,1,4,2021-12-26 22:36:53.079288,7444.93,No,0,654.0,Baa,good,good,93.8,"{'label': 'NEGATIVE', 'score': 0.9982219338417053}",NEGATIVE,0.9982219338417053,-0.9982219338417053,after reading all the reviews i was put off by the thought of applying.,Other,Detractor,93.66812227074236,0
815539233,I feel sorry for all the people who have an Argos credit card!,22-Mar-25,Montreal,Attrited Customer,54,M,4,High School,Single,$80K - $120K,Silver,49,1,3,4,34516.0,214,34302.0,0.0,1201,22,0.0,0.006,0.9979,0.00209822,Voluntary,85189,7099.083333333333,3.014473699656059,Low Risk,758.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,758.0,Aa,good,good,92.8,"{'label': 'NEGATIVE', 'score': 0.999702513217926}",NEGATIVE,0.999702513217926,-0.999702513217926,i feel sorry for all the people who have an argos credit card!,Other,Detractor,93.66812227074236,0
712030833,"I have to agree with all the other recent negative comments. The advantages of paying by card have been substantially reduced and it is impossible to contact them on anything other than an order. The final straw is that they have moved to AnyDay, a company I have had bad dealings with before, causing me to cancel my Waitrose card. Like is too stressful to have issues with contacting a retailer and I have noticed that their prices on many things are no longer competitive. I have cancelled my card like many others and many yet to come I suspect.",15-Mar-25,Moose Jaw,Attrited Customer,48,M,2,Graduate,Married,$60K - $80K,Silver,35,2,4,4,34516.0,0,34516.0,0.763,691,15,0.5,0.0,0.99823,0.00177065,Involuntary,70631,5885.916666666667,0.0,Low Risk,627.0,1,3,2023-10-23 22:36:53.079308,7478.61,No,0,627.0,Ba,good,good,50.0,"{'label': 'NEGATIVE', 'score': 0.9997063279151917}",NEGATIVE,0.9997063279151917,-0.9997063279151917,"i have to agree with all the other recent negative comments. the advantages of paying by card have been substantially reduced and it is impossible to contact them on anything other than an order. the final straw is that they have moved to anyday, a company i have had bad dealings with before, causing me to cancel my waitrose card. like is too stressful to have issues with contacting a retailer and i have noticed that their prices on many things are no longer competitive. i have cancelled my card like many others and many yet to come i suspect.",Technical Issues,Detractor,93.66812227074236,0
713206683,And I request to increase credit limit but they dont increase Crecit limit while Im eligible for 25k loan with Lloyds and all other banks are offering me.,23-Feb-25,Canmore,Attrited Customer,40,M,4,Graduate,Single,$80K - $120K,Silver,22,3,1,3,34516.0,0,34516.0,0.64,1028,26,0.3,0.0,0.98874,0.01126,Involuntary,88480,7373.333333333333,0.0,Low Risk,647.0,1,1,2020-08-22 22:36:53.079339,6537.85,No,0,647.0,Ba,good,good,50.0,"{'label': 'NEGATIVE', 'score': 0.988559901714325}",NEGATIVE,0.988559901714325,-0.988559901714325,and i request to increase credit limit but they dont increase crecit limit while im eligible for 25k loan with lloyds and all other banks are offering me.,Other,Detractor,93.66812227074236,0
791856033,I will suggest if you thinking to purchase more then thousand pound things with Argos then try another options because they will not offer more then £800.,23-Feb-25,Port Alberni,Attrited Customer,45,M,2,College,Divorced,$80K - $120K,Blue,39,3,4,4,34516.0,0,34516.0,1.014,1041,27,0.35,0.0,0.99835,0.00164579,Involuntary,91556,7629.666666666667,0.0,Low Risk,479.0,0,0,1900-01-01 00:00:00.000000,0.0,Yes,1,329.0,C,bad,bad,50.0,"{'label': 'NEGATIVE', 'score': 0.9990622401237488}",NEGATIVE,0.9990622401237488,-0.9990622401237488,i will suggest if you thinking to purchase more then thousand pound things with argos then try another options because they will not offer more then £800.,Other,Detractor,93.66812227074236,0
821149008,"Just had a message from argos saying ""my card is up for renewal but they have looked at my account and won't renew it"" I have been with them about 8 years with no problems always pay on time, but the last 2 payment they asked for it earlier than usual and saying 2 late payment, they have gone down hill terrible company, I am not interested in another card , I have been paying regualy but my balance don't seem to go down, this company needs looking into. Rip off company.",13-Feb-25,Selkirk,Attrited Customer,52,M,2,Graduate,Single,$80K - $120K,Blue,48,6,2,4,34516.0,0,34516.0,0.539,1661,40,0.6,0.0,0.99695,0.00305189,Involuntary,110171,9180.916666666666,0.0,Low Risk,672.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,672.0,Baa,good,good,50.0,"{'label': 'NEGATIVE', 'score': 0.9984657764434814}",NEGATIVE,0.9984657764434814,-0.9984657764434814,"just had a message from argos saying ""my card is up for renewal but they have looked at my account and won't renew it"" i have been with them about 8 years with no problems always pay on time, but the last 2 payment they asked for it earlier than usual and saying 2 late payment, they have gone down hill terrible company, i am not interested in another card , i have been paying regualy but my balance don't seem to go down, this company needs looking into. rip off company.",Technical Issues,Detractor,93.66812227074236,0
811035483,"I set up a direct debit in December so I wouldn't miss my first payment in January. I received a text the day after payment should have gone through saying it's late. Turns out you have to allow a full month for DD to be set up. They wouldn't waive the late payment charge, which was twice the amount of my minimum payment. Great customer service, makes me feel really valued lol.",25-Jan-25,London,Attrited Customer,47,M,3,Uneducated,Divorced,$120K +,Silver,42,2,4,5,34516.0,0,34516.0,0.521,1641,35,0.591,0.0,0.99904,0.00095977,Voluntary,141219,11768.25,0.0,Low Risk,643.0,1,2,2021-02-07 22:36:53.079390,10606.47,No,0,643.0,Ba,good,good,50.0,"{'label': 'POSITIVE', 'score': 0.9894070029258728}",POSITIVE,0.9894070029258728,0.9894070029258728,"i set up a direct debit in december so i wouldn't miss my first payment in january. i received a text the day after payment should have gone through saying it's late. turns out you have to allow a full month for dd to be set up. they wouldn't waive the late payment charge, which was twice the amount of my minimum payment. great customer service, makes me feel really valued lol.",Poor Customer Service,Promoter,6.331877729257641,0
711205758,Argos card has gone really bad since it has been taken over. As should have kept all the conditions as they were. Instead of changing everything as was good before they changed n got taken over by a third party ????,22-Jan-25,Toronto,Attrited Customer,45,M,3,College,Single,$80K - $120K,Silver,33,1,3,3,34516.0,0,34516.0,1.492,2534,43,0.433,0.0,0.99639,0.00361221,Involuntary,88038,7336.5,0.0,Low Risk,469.0,1,2,2023-11-10 22:36:53.079412,2909.41,No,0,469.0,Ca,good,good,50.0,"{'label': 'NEGATIVE', 'score': 0.9996812343597412}",NEGATIVE,0.9996812343597412,-0.9996812343597412,argos card has gone really bad since it has been taken over. as should have kept all the conditions as they were. instead of changing everything as was good before they changed n got taken over by a third party ????,Other,Detractor,93.66812227074236,0
715664808,Argos card has gone down hill,22-Jan-25,Ottawa,Attrited Customer,43,M,2,Graduate,Single,$80K - $120K,Blue,30,3,3,3,34516.0,0,34516.0,0.688,2427,51,0.645,0.0,0.99671,0.00329379,Voluntary,117853,9821.083333333334,0.0,Low Risk,774.0,1,5,2021-08-29 22:36:53.079443,11977.51,Yes,1,624.0,Ba,bad,bad,50.0,"{'label': 'NEGATIVE', 'score': 0.9817847013473511}",NEGATIVE,0.9817847013473511,-0.9817847013473511,argos card has gone down hill,Other,Detractor,93.66812227074236,0
714864333,Poor customer service infect there is no customer care service at you just type pad are trying to explain to a BOT unreal,20-Jan-25,Thompson,Attrited Customer,43,M,2,College,Divorced,$120K +,Blue,37,4,1,2,34516.0,0,34516.0,0.536,1370,38,0.357,0.0,0.98167,0.01833,Involuntary,178750,14895.833333333334,0.0,Low Risk,579.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,579.0,B,bad,bad,50.0,"{'label': 'NEGATIVE', 'score': 0.9997777342796326}",NEGATIVE,0.9997777342796326,-0.9997777342796326,poor customer service infect there is no customer care service at you just type pad are trying to explain to a bot unreal,Poor Customer Service,Detractor,93.66812227074236,0
808747233,Unprofessional,11-Jan-25,Cochrane,Attrited Customer,50,M,2,Doctorate,Married,$120K +,Silver,45,6,3,3,34516.0,0,34516.0,0.771,2573,55,0.719,0.0,0.99748,0.00252095,Involuntary,167684,13973.666666666666,0.0,Low Risk,578.0,0,0,1900-01-01 00:00:00.000000,0.0,Yes,1,428.0,Ca,bad,bad,50.0,"{'label': 'NEGATIVE', 'score': 0.9916370511054993}",NEGATIVE,0.9916370511054993,-0.9916370511054993,unprofessional,Other,Detractor,93.66812227074236,0
710410158,Punishes customers for paying?,6-Jan-25,Port Alberni,Attrited Customer,49,M,2,Graduate,,$80K - $120K,Blue,38,3,4,3,34516.0,0,34516.0,0.482,1592,35,0.346,0.0,0.99727,0.00272694,Involuntary,102901,8575.083333333334,0.0,Low Risk,549.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,549.0,Caa,bad,bad,50.0,"{'label': 'NEGATIVE', 'score': 0.9987217783927917}",NEGATIVE,0.9987217783927917,-0.9987217783927917,punishes customers for paying?,Other,Detractor,93.66812227074236,0
