CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,NB_Attrition_Prob_Yes,NB_Attrition_Prob_No,Attrition_Type,annual_income,monthly_income,DTI_ratio,DTI_Risk_Level,Credit_Score,Loan_Default_Flag,Number_of_Defaults,Last_Default_Date,Default_Amount,Bankruptcy_History,Bankruptcy_Flag,Adjusted_Credit_Score,Moodys_Rating,Payment_History_Flag,Payment_Risk,estimated_annual_revenue,Income_Category_Inferred,Income_Category_Complete
815353083,Attrited Customer,44,M,1,College,Divorced,$80K - $120K,Silver,39,2,3,2,34516.0,2361,32155.0,0.529,1853.0,36.0,0.385,0.068,0.9933,0.0067,Involuntary,105425.0,8785.416666666666,26.874081100308278,Low Risk,485.0,0,0,,0.0,No,0,485.0,Ca,bad,bad,522.2,>$120K,$80K - $120K
709066983,Existing Customer,50,M,4,High School,Married,$120K +,Blue,41,2,2,2,34516.0,2353,32163.0,0.667,15214.0,129.0,0.675,0.068,0.00011604,0.99988,Existing Customer,191430.0,15952.5,14.750039178812099,Low Risk,702.0,0,0,,0.0,No,0,702.0,A,good,good,520.6,>$120K,$120K +
779885358,Existing Customer,51,M,0,College,Married,$120K +,Silver,35,5,1,2,34516.0,2332,32184.0,0.8,4587.0,82.0,0.745,0.068,4.15e-05,0.99996,Existing Customer,127928.0,10660.666666666666,21.87480457757489,Low Risk,685.0,0,0,,0.0,No,0,685.0,Baa,good,good,516.4000000000001,>$120K,$120K +
720412308,Existing Customer,40,M,4,,Married,$80K - $120K,Blue,36,2,1,1,34516.0,2330,32186.0,0.693,7635.0,75.0,0.667,0.068,3.83e-05,0.99996,Existing Customer,92661.0,7721.75,30.1745070741736,Low Risk,794.0,0,0,,0.0,No,0,794.0,Aa,good,good,516.0,>$120K,$80K - $120K
713671158,Existing Customer,46,M,2,Uneducated,Single,$120K +,Blue,32,2,3,1,34516.0,2328,32188.0,0.855,15754.0,121.0,0.729,0.067,0.00011153,0.99989,Existing Customer,133453.0,11121.083333333334,20.933212441833454,Low Risk,498.0,0,0,,0.0,No,0,498.0,Ca,good,good,515.6,>$120K,$120K +
714199983,Existing Customer,48,M,3,Uneducated,Single,$60K - $80K,Gold,40,5,2,5,34516.0,2317,32199.0,0.699,3927.0,68.0,0.7,0.067,0.00069441,0.99931,Existing Customer,76770.0,6397.5,36.21727237202032,Medium Risk,508.0,1,3,2022-05-18 22:37:53.620971,11271.3,No,0,508.0,Caa,good,good,513.4000000000001,>$120K,$60K - $80K
716864733,Existing Customer,47,M,3,College,Married,$120K +,Silver,27,6,3,3,34516.0,2315,32201.0,0.599,1805.0,46.0,0.704,0.067,0.00027576,0.99972,Existing Customer,184856.0,15404.666666666666,15.027913619249578,Low Risk,619.0,1,1,2025-02-26 22:37:53.620996,7246.85,No,0,619.0,Ba,good,good,513.0,>$120K,$120K +
788890533,Existing Customer,54,M,2,College,Married,$80K - $120K,Silver,39,4,1,4,34516.0,2305,32211.0,0.586,13756.0,106.0,0.71,0.067,0.00013883,0.99986,Existing Customer,98973.0,8247.75,27.94701585280834,Low Risk,637.0,0,0,,0.0,No,0,637.0,Ba,good,good,511.0,>$120K,$80K - $120K
787921383,Attrited Customer,53,M,0,High School,Single,$120K +,Silver,44,2,4,4,34516.0,2297,32219.0,0.416,1461.0,43.0,0.536,0.067,0.99788,0.0021218,Voluntary,131100.0,10925.0,21.02517162471396,Low Risk,726.0,1,3,2022-01-25 22:37:53.621015,1052.86,No,0,726.0,A,good,good,509.4,>$120K,$120K +
751166508,Existing Customer,57,M,3,Post-Graduate,Single,$80K - $120K,Blue,50,3,1,1,34516.0,2293,32223.0,0.799,14287.0,114.0,0.754,0.066,4.06e-05,0.99996,Existing Customer,85750.0,7145.833333333333,32.08862973760933,Low Risk,720.0,1,3,2024-11-29 22:37:53.621037,9489.0,No,0,720.0,A,good,good,508.6,>$120K,$80K - $120K
714959358,Attrited Customer,50,M,3,High School,Married,$80K - $120K,Silver,36,5,3,3,34516.0,2292,32224.0,0.876,8045.0,71.0,0.868,0.066,0.99639,0.00361254,Involuntary,88964.0,7413.666666666667,30.915876084708422,Low Risk,698.0,1,1,2025-05-07 22:37:53.621069,11626.42,Yes,1,548.0,Caa,bad,bad,508.4,>$120K,$80K - $120K
720422358,Existing Customer,42,M,1,Post-Graduate,Single,$60K - $80K,Gold,36,1,1,2,34516.0,2276,32240.0,0.767,7485.0,90.0,0.552,0.066,7.01e-05,0.99993,Existing Customer,62547.0,5212.25,43.666362895102885,Medium Risk,639.0,0,0,,0.0,No,0,639.0,Ba,good,good,505.2000000000001,>$120K,$60K - $80K
807030858,Existing Customer,51,M,4,High School,Single,$120K +,Blue,46,6,3,3,34516.0,2274,32242.0,0.788,1795.0,47.0,0.679,0.066,0.00030842,0.99969,Existing Customer,148694.0,12391.166666666666,18.351782856066823,Low Risk,624.0,0,0,,0.0,No,0,624.0,Ba,good,good,504.8,>$120K,$120K +
826451433,Existing Customer,42,M,4,Graduate,Single,$80K - $120K,Silver,38,2,1,3,34516.0,2273,32243.0,0.86,8502.0,103.0,0.717,0.066,8.78e-05,0.99991,Existing Customer,82075.0,6839.583333333333,33.23301858056656,Low Risk,500.0,0,0,,0.0,No,0,500.0,Caa,good,good,504.6,>$120K,$80K - $120K
810347208,Existing Customer,51,M,4,,Married,$120K +,Gold,46,6,1,3,34516.0,2264,32252.0,1.975,1330.0,31.0,0.722,0.066,0.00012303,0.99988,Existing Customer,182522.0,15210.166666666666,14.884781012699841,Low Risk,813.0,1,1,2023-03-29 22:37:53.621095,5329.25,No,0,813.0,Aaa,good,good,502.8,>$120K,$120K +
712029783,Existing Customer,42,M,4,Uneducated,Single,$80K - $120K,Silver,36,2,2,1,34516.0,2253,32263.0,0.853,7836.0,93.0,0.603,0.065,6.69e-05,0.99993,Existing Customer,99307.0,8275.583333333334,27.224666941907415,Low Risk,504.0,0,0,,0.0,No,0,504.0,Caa,good,good,500.6,>$120K,$80K - $120K
715601808,Existing Customer,50,M,3,Graduate,Married,$120K +,Blue,41,4,2,3,34516.0,2253,32263.0,1.032,16692.0,131.0,0.795,0.065,0.00019864,0.9998,Existing Customer,125289.0,10440.75,21.57890956109475,Low Risk,693.0,0,0,,0.0,No,0,693.0,Baa,good,good,500.6,>$120K,$120K +
716758908,Existing Customer,46,M,3,Uneducated,Single,$120K +,Blue,27,4,2,3,34516.0,2213,32303.0,0.584,4492.0,71.0,0.821,0.064,0.00020424,0.9998,Existing Customer,126318.0,10526.5,21.023132095188334,Low Risk,769.0,0,0,,0.0,No,0,769.0,Aa,good,good,492.6,>$120K,$120K +
714465558,Existing Customer,41,M,4,,Married,$120K +,Silver,36,3,1,4,34516.0,2205,32311.0,0.897,15033.0,98.0,0.922,0.064,0.00016461,0.99984,Existing Customer,167223.0,13935.25,15.823182217757125,Low Risk,580.0,1,5,2020-10-28 22:37:53.621119,15427.48,Yes,1,430.0,Ca,bad,bad,491.0,>$120K,$120K +
713475633,Existing Customer,40,M,5,,Single,$120K +,Silver,31,1,3,3,34516.0,2203,32313.0,0.728,14204.0,96.0,0.92,0.064,0.00031018,0.99969,Existing Customer,188996.0,15749.666666666666,13.987597621113675,Low Risk,756.0,0,0,,0.0,No,0,756.0,Aa,good,good,490.6,>$120K,$120K +
710047533,Attrited Customer,51,M,3,Graduate,Single,$80K - $120K,Gold,36,4,3,3,34516.0,2201,32315.0,0.978,8614.0,63.0,0.75,0.064,0.99724,0.00275658,Involuntary,86886.0,7240.5,30.398453145501,Low Risk,632.0,0,0,,0.0,No,0,632.0,Ba,good,good,490.2000000000001,>$120K,$80K - $120K
719991783,Existing Customer,40,M,2,High School,Married,$80K - $120K,Silver,36,5,3,0,34516.0,2183,32333.0,0.739,3644.0,67.0,0.634,0.063,5.83e-05,0.99994,Existing Customer,88862.0,7405.166666666667,29.47941752380095,Low Risk,584.0,0,0,,0.0,No,0,584.0,B,good,good,486.6,>$120K,$80K - $120K
720214833,Existing Customer,52,M,2,High School,Single,$80K - $120K,Silver,40,3,3,3,34516.0,2177,32339.0,1.32,1234.0,23.0,1.875,0.063,0.00026573,0.99973,Existing Customer,99774.0,8314.5,26.183173973179386,Low Risk,470.0,0,0,,0.0,No,0,470.0,Ca,good,good,485.4,>$120K,$80K - $120K
715383108,Existing Customer,52,M,2,Graduate,Single,$120K +,Blue,44,5,1,1,34516.0,2174,32342.0,0.426,1616.0,50.0,0.515,0.063,3.32e-05,0.99997,Existing Customer,182138.0,15178.166666666666,14.32320548155794,Low Risk,778.0,0,0,,0.0,No,0,778.0,Aa,good,good,484.8,>$120K,$120K +
719554758,Existing Customer,46,M,2,Uneducated,Married,$80K - $120K,Blue,38,6,3,2,34516.0,2165,32351.0,0.837,1672.0,32.0,0.524,0.063,0.00018494,0.99982,Existing Customer,103633.0,8636.083333333334,25.069234703231597,Low Risk,616.0,1,4,2023-07-07 22:37:53.621145,7735.45,No,0,616.0,Ba,good,good,483.0,>$120K,$80K - $120K
708697983,Existing Customer,56,M,0,High School,,$120K +,Blue,49,2,2,2,34516.0,2156,32360.0,0.698,8766.0,78.0,0.814,0.062,9.5e-05,0.99991,Existing Customer,130168.0,10847.333333333334,19.875852744146023,Low Risk,723.0,0,0,,0.0,No,0,723.0,A,good,good,481.2000000000001,>$120K,$120K +
710106933,Existing Customer,32,M,2,Uneducated,Single,$80K - $120K,Silver,20,2,3,3,34516.0,2136,32380.0,0.849,14667.0,119.0,0.75,0.062,0.00028105,0.99972,Existing Customer,111215.0,9267.916666666666,23.04725082048285,Low Risk,837.0,0,0,,0.0,Yes,1,687.0,Baa,bad,bad,477.2000000000001,>$120K,$80K - $120K
809358708,Existing Customer,38,M,3,,Single,$80K - $120K,Blue,33,6,2,2,34516.0,2135,32381.0,0.488,3514.0,63.0,0.703,0.062,0.00012982,0.99987,Existing Customer,92226.0,7685.5,27.779584932665408,Low Risk,538.0,0,0,,0.0,No,0,538.0,Caa,good,good,477.0,>$120K,$80K - $120K
712797258,Existing Customer,43,M,3,Graduate,Married,$120K +,Blue,33,3,1,3,34516.0,2129,32387.0,0.587,1463.0,38.0,0.583,0.062,9.61e-05,0.9999,Existing Customer,179346.0,14945.5,14.245090495466863,Low Risk,765.0,0,0,,0.0,No,0,765.0,Aa,good,good,475.8,>$120K,$120K +
817908783,Existing Customer,44,M,3,,Single,$120K +,Silver,39,2,3,1,34516.0,2123,32393.0,0.801,14242.0,107.0,0.551,0.062,0.0001118,0.99989,Existing Customer,169704.0,14142.0,15.012020930561448,Low Risk,463.0,0,0,,0.0,No,0,463.0,Ca,good,good,474.6,>$120K,$120K +
789289383,Existing Customer,42,M,3,Graduate,Single,$80K - $120K,Silver,31,2,2,3,34516.0,2120,32396.0,0.9,14626.0,97.0,0.644,0.061,0.00017949,0.99982,Existing Customer,119753.0,9979.416666666666,21.243726670730588,Low Risk,691.0,0,0,,0.0,No,0,691.0,Baa,good,good,474.0,>$120K,$80K - $120K
827332983,Existing Customer,46,M,3,High School,Single,$80K - $120K,Gold,42,3,2,2,34516.0,2113,32403.0,0.618,1362.0,31.0,1.214,0.061,0.00013228,0.99987,Existing Customer,97421.0,8118.416666666667,26.02724258630069,Low Risk,714.0,0,0,,0.0,No,0,714.0,A,good,good,472.6,>$120K,$80K - $120K
780707733,Existing Customer,41,M,1,Graduate,Married,$80K - $120K,Blue,30,3,3,2,34516.0,2109,32407.0,0.703,6832.0,87.0,0.706,0.061,0.00016883,0.99983,Existing Customer,84396.0,7033.0,29.987203184985074,Low Risk,795.0,0,0,,0.0,No,0,795.0,Aa,good,good,471.8,>$120K,$80K - $120K
712003083,Existing Customer,55,M,1,Graduate,Married,$80K - $120K,Blue,36,3,2,4,34516.0,2102,32414.0,0.912,1612.0,33.0,0.737,0.061,0.00030653,0.99969,Existing Customer,118280.0,9856.666666666666,21.32566790666216,Low Risk,502.0,0,0,,0.0,No,0,502.0,Caa,good,good,470.4,>$120K,$80K - $120K
821836008,Existing Customer,57,M,2,Uneducated,Single,$80K - $120K,Blue,53,5,2,4,34516.0,2099,32417.0,0.629,1233.0,26.0,0.857,0.061,0.00033577,0.99966,Existing Customer,100355.0,8362.916666666666,25.0988989088735,Low Risk,835.0,0,0,,0.0,No,0,835.0,Aaa,good,good,469.8,>$120K,$80K - $120K
711835758,Existing Customer,50,M,3,Graduate,Married,$120K +,Blue,42,4,5,3,34516.0,2099,32417.0,0.449,1756.0,35.0,0.25,0.061,0.0003506,0.99965,Existing Customer,120096.0,10008.0,20.97322142286171,Low Risk,789.0,0,0,,0.0,No,0,789.0,Aa,good,good,469.8,>$120K,$120K +
779852133,Existing Customer,48,M,2,,Married,$120K +,Silver,32,3,2,4,34516.0,2098,32418.0,0.741,3093.0,66.0,0.784,0.061,0.00032434,0.99968,Existing Customer,198377.0,16531.416666666668,12.690987362446252,Low Risk,541.0,0,0,,0.0,No,0,541.0,Caa,good,good,469.6,>$120K,$120K +
