CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2,Attrition_Type,annual_income,monthly_income,DTI_ratio,DTI_Risk_Level,Credit_Score,Loan_Default_Flag,Number_of_Defaults,Last_Default_Date,Default_Amount
714751158,Attrited Customer,49,M,2,High School,Divorced,$80K - $120K,Blue,36,4,2,4,34516.0,2517,31999.0,0.376,1789.0,48.0,0.455,0.073,0.99686,0.00313909,Involuntary,115928.0,9660.666666666666,26.054102546408114,Low Risk,526.0,0,0,,0.0
771795933,Attrited Customer,49,M,4,Unknown,Single,$120K +,Blue,38,3,3,4,34516.0,2517,31999.0,0.7,2376.0,55.0,0.486,0.073,0.99832,0.00167742,Involuntary,171482.0,14290.166666666666,17.61351045590791,Low Risk,450.0,1,4,2024-02-05 20:42:57.584360,1134.33
751518633,Attrited Customer,48,M,5,Post-Graduate,Single,$120K +,Silver,41,5,3,1,34516.0,2517,31999.0,0.553,2260.0,50.0,0.786,0.073,0.99167,0.00833,Involuntary,186178.0,15514.833333333334,16.22318426452105,Low Risk,637.0,0,0,,0.0
710662158,Existing Customer,41,M,4,Unknown,Married,$120K +,Blue,34,1,3,3,34516.0,2517,31999.0,0.434,2051.0,41.0,1.05,0.073,0.00034872,0.99965,Existing Customer,151998.0,12666.5,19.87131409623811,Low Risk,571.0,0,0,,0.0
708672708,Existing Customer,49,M,4,High School,Unknown,$80K - $120K,Blue,31,2,3,3,34516.0,2517,31999.0,0.71,3990.0,65.0,1.031,0.073,0.00030842,0.99969,Existing Customer,103429.0,8619.083333333334,29.202641425518955,Low Risk,664.0,0,0,,0.0
789363408,Existing Customer,44,M,3,High School,Married,$120K +,Silver,34,3,1,2,34516.0,2517,31999.0,0.814,7427.0,83.0,0.566,0.073,5.02e-05,0.99995,Existing Customer,155766.0,12980.5,19.390624398135664,Low Risk,780.0,0,0,,0.0
718665933,Existing Customer,43,M,3,Unknown,Divorced,$120K +,Blue,30,3,1,2,34516.0,2517,31999.0,0.77,7437.0,86.0,0.623,0.073,6.28e-05,0.99994,Existing Customer,160795.0,13399.583333333334,18.78416617432134,Low Risk,537.0,0,0,,0.0
809464608,Attrited Customer,47,F,3,High School,Married,Unknown,Silver,31,3,3,2,34516.0,2517,31999.0,0.618,2691.0,42.0,0.5,0.073,0.99394,0.00606,Voluntary,,,,High Risk,654.0,0,0,,0.0
719178183,Existing Customer,50,M,2,Graduate,Married,$80K - $120K,Silver,42,2,3,3,34516.0,2517,31999.0,0.759,8186.0,85.0,0.635,0.073,0.00027334,0.99973,Existing Customer,83164.0,6930.333333333333,36.31859939396855,Medium Risk,822.0,1,2,2024-09-10 20:42:57.584391,11352.7
716704158,Existing Customer,50,M,1,Doctorate,Married,$120K +,Blue,39,2,3,2,34516.0,2517,31999.0,0.778,8087.0,86.0,0.509,0.073,0.00024431,0.99976,Existing Customer,168923.0,14076.916666666666,17.880336011081972,Low Risk,549.0,1,2,2025-03-31 20:42:57.584413,4555.85
714510483,Existing Customer,44,M,3,Graduate,Single,$80K - $120K,Gold,36,2,3,3,34516.0,2517,31999.0,0.703,7640.0,87.0,0.582,0.073,0.00036164,0.99964,Existing Customer,97229.0,8102.416666666667,31.06480576782647,Low Risk,809.0,0,0,,0.0
711436983,Existing Customer,57,M,3,Unknown,Single,$120K +,Silver,49,1,2,1,34516.0,2517,31999.0,0.693,8596.0,102.0,0.672,0.073,7.07e-05,0.99993,Existing Customer,173388.0,14449.0,17.419890649871963,Low Risk,601.0,1,1,2024-10-29 20:42:57.584425,5084.96
714391683,Attrited Customer,39,M,4,Unknown,Married,$60K - $80K,Gold,36,4,3,2,34516.0,2517,31999.0,0.841,8248.0,66.0,0.65,0.073,0.99583,0.00416767,Involuntary,71610.0,5967.5,42.17846669459573,Medium Risk,505.0,0,0,,0.0
713390433,Attrited Customer,44,M,3,Graduate,Unknown,$60K - $80K,Gold,29,2,3,2,34516.0,2517,31999.0,0.579,6782.0,67.0,0.763,0.073,0.99537,0.00462792,Involuntary,68245.0,5687.083333333333,44.25818741299729,Medium Risk,484.0,1,4,2024-09-04 20:42:57.584438,3636.41
715321008,Attrited Customer,39,M,2,Unknown,Married,$120K +,Blue,36,6,3,3,34516.0,2517,31999.0,1.052,7866.0,63.0,0.75,0.073,0.997,0.00299743,Involuntary,150005.0,12500.416666666666,20.13532882237259,Low Risk,561.0,1,4,2023-05-07 20:42:57.584448,15359.42
712841883,Attrited Customer,50,M,3,College,Single,$80K - $120K,Silver,36,3,3,2,34516.0,2517,31999.0,0.735,7155.0,66.0,0.65,0.073,0.99394,0.00606,Voluntary,109245.0,9103.75,27.647947274474806,Low Risk,660.0,0,0,,0.0
710178558,Attrited Customer,46,M,2,High School,Married,$60K - $80K,Gold,38,5,3,6,34516.0,2517,31999.0,0.956,9314.0,89.0,0.978,0.073,0.99943,0.00056902,Involuntary,74529.0,6210.75,40.52650646057239,Medium Risk,479.0,0,0,,0.0
789105183,Existing Customer,54,M,3,Post-Graduate,Single,$80K - $120K,Silver,42,3,1,2,34516.0,2488,32028.0,0.552,4401.0,87.0,0.776,0.072,6.08e-05,0.99994,Existing Customer,84001.0,7000.083333333333,35.54243401864264,Low Risk,580.0,0,0,,0.0
715839708,Existing Customer,51,M,1,Graduate,Married,$120K +,Blue,39,2,3,2,34516.0,2452,32064.0,0.707,7111.0,82.0,0.608,0.071,0.00016883,0.99983,Existing Customer,128326.0,10693.833333333334,22.929102442217474,Low Risk,599.0,0,0,,0.0
712268808,Existing Customer,55,M,4,Graduate,Single,$120K +,Silver,36,2,2,3,34516.0,2443,32073.0,0.827,8765.0,105.0,0.721,0.071,0.00018141,0.99982,Existing Customer,162285.0,13523.75,18.064516129032256,Low Risk,758.0,0,0,,0.0
709826058,Existing Customer,49,M,2,Unknown,Married,$80K - $120K,Blue,36,3,1,1,34516.0,2435,32081.0,0.732,1805.0,34.0,0.619,0.071,3.65e-05,0.99996,Existing Customer,85654.0,7137.833333333333,34.113993508767834,Low Risk,707.0,1,3,2023-04-28 20:42:57.584459,511.95
713916708,Existing Customer,53,M,3,Graduate,Single,$120K +,Gold,43,3,1,3,34516.0,2435,32081.0,0.77,7758.0,98.0,0.719,0.071,0.00011075,0.99989,Existing Customer,126093.0,10507.75,23.1733720349266,Low Risk,793.0,1,3,2020-10-19 20:42:57.584469,9060.19
715749108,Existing Customer,48,M,3,Graduate,Married,$60K - $80K,Gold,37,5,1,2,34516.0,2429,32087.0,0.742,3205.0,57.0,0.727,0.07,6.58e-05,0.99993,Existing Customer,61324.0,5110.333333333333,47.53114604396321,Medium Risk,743.0,0,0,,0.0
770560683,Existing Customer,51,M,1,Graduate,Married,$120K +,Gold,37,2,3,1,34516.0,2417,32099.0,0.947,13021.0,117.0,0.625,0.07,0.00011731,0.99988,Existing Customer,147005.0,12250.416666666666,19.729941158463998,Low Risk,835.0,0,0,,0.0
721243083,Attrited Customer,55,M,3,Uneducated,Divorced,$80K - $120K,Blue,41,1,3,4,34516.0,2408,32108.0,0.796,1187.0,40.0,0.6,0.07,0.99819,0.00181217,Involuntary,92327.0,7693.916666666667,31.297453615951998,Low Risk,503.0,0,0,,0.0
712407033,Existing Customer,26,F,0,Uneducated,Unknown,Unknown,Silver,13,1,2,3,34516.0,2403,32113.0,0.623,4174.0,59.0,0.735,0.07,0.00015262,0.99985,Existing Customer,,,,High Risk,641.0,0,0,,0.0
720323208,Existing Customer,43,M,2,Graduate,Married,$120K +,Silver,31,6,2,4,34516.0,2398,32118.0,0.917,4976.0,88.0,0.692,0.069,0.00029507,0.9997,Existing Customer,126479.0,10539.916666666666,22.751603032914556,Low Risk,726.0,0,0,,0.0
718851783,Existing Customer,49,M,1,High School,Married,$80K - $120K,Silver,37,4,3,2,34516.0,2386,32130.0,0.698,3924.0,65.0,0.512,0.069,0.0001483,0.99985,Existing Customer,115101.0,9591.75,24.875544087366748,Low Risk,610.0,0,0,,0.0
811793433,Existing Customer,50,F,3,Graduate,Divorced,Unknown,Silver,45,2,1,2,34516.0,2381,32135.0,0.748,15071.0,103.0,0.717,0.069,5.16e-05,0.99995,Existing Customer,,,,High Risk,763.0,1,5,2024-06-17 20:42:57.584480,2193.99
709912683,Existing Customer,53,F,4,Graduate,Single,Unknown,Gold,41,5,1,2,34516.0,2374,32142.0,0.81,4390.0,77.0,0.604,0.069,6.65e-05,0.99993,Existing Customer,,,,High Risk,471.0,0,0,,0.0
815353083,Attrited Customer,44,M,1,College,Divorced,$80K - $120K,Silver,39,2,3,2,34516.0,2361,32155.0,0.529,1853.0,36.0,0.385,0.068,0.9933,0.0067,Involuntary,99029.0,8252.416666666666,28.609801169354434,Low Risk,485.0,0,0,,0.0
709066983,Existing Customer,50,M,4,High School,Married,$120K +,Blue,41,2,2,2,34516.0,2353,32163.0,0.667,15214.0,129.0,0.675,0.068,0.00011604,0.99988,Existing Customer,176724.0,14727.0,15.977456372648877,Low Risk,702.0,0,0,,0.0
779885358,Existing Customer,51,M,0,College,Married,$120K +,Silver,35,5,1,2,34516.0,2332,32184.0,0.8,4587.0,82.0,0.745,0.068,4.15e-05,0.99996,Existing Customer,131472.0,10956.0,21.285140562248998,Low Risk,685.0,0,0,,0.0
720412308,Existing Customer,40,M,4,Unknown,Married,$80K - $120K,Blue,36,2,1,1,34516.0,2330,32186.0,0.693,7635.0,75.0,0.667,0.068,3.83e-05,0.99996,Existing Customer,103816.0,8651.333333333334,26.932264776142407,Low Risk,794.0,0,0,,0.0
713671158,Existing Customer,46,M,2,Uneducated,Single,$120K +,Blue,32,2,3,1,34516.0,2328,32188.0,0.855,15754.0,121.0,0.729,0.067,0.00011153,0.99989,Existing Customer,120502.0,10041.833333333334,23.183017709249636,Low Risk,498.0,0,0,,0.0
714199983,Existing Customer,48,M,3,Uneducated,Single,$60K - $80K,Gold,40,5,2,5,34516.0,2317,32199.0,0.699,3927.0,68.0,0.7,0.067,0.00069441,0.99931,Existing Customer,69890.0,5824.166666666667,39.78251538131349,Medium Risk,508.0,1,3,2022-05-19 20:42:57.584491,11271.3
716864733,Existing Customer,47,M,3,College,Married,$120K +,Silver,27,6,3,3,34516.0,2315,32201.0,0.599,1805.0,46.0,0.704,0.067,0.00027576,0.99972,Existing Customer,162353.0,13529.416666666666,17.110863365629218,Low Risk,619.0,1,1,2025-02-27 20:42:57.584502,7246.85
788890533,Existing Customer,54,M,2,College,Married,$80K - $120K,Silver,39,4,1,4,34516.0,2305,32211.0,0.586,13756.0,106.0,0.71,0.067,0.00013883,0.99986,Existing Customer,111904.0,9325.333333333334,24.71761509865599,Low Risk,637.0,0,0,,0.0
787921383,Attrited Customer,53,M,0,High School,Single,$120K +,Silver,44,2,4,4,34516.0,2297,32219.0,0.416,1461.0,43.0,0.536,0.067,0.99788,0.0021218,Voluntary,167957.0,13996.416666666666,16.411343379555483,Low Risk,726.0,1,3,2022-01-26 20:42:57.584513,1052.86
751166508,Existing Customer,57,M,3,Post-Graduate,Single,$80K - $120K,Blue,50,3,1,1,34516.0,2293,32223.0,0.799,14287.0,114.0,0.754,0.066,4.06e-05,0.99996,Existing Customer,95846.0,7987.166666666667,28.708553304258917,Low Risk,720.0,1,3,2024-11-30 20:42:57.584523,9489.0
714959358,Attrited Customer,50,M,3,High School,Married,$80K - $120K,Silver,36,5,3,3,34516.0,2292,32224.0,0.876,8045.0,71.0,0.868,0.066,0.99639,0.00361254,Involuntary,108241.0,9020.083333333334,25.409964800768652,Low Risk,698.0,1,1,2025-05-08 20:42:57.584534,11626.42
720422358,Existing Customer,42,M,1,Post-Graduate,Single,$60K - $80K,Gold,36,1,1,2,34516.0,2276,32240.0,0.767,7485.0,90.0,0.552,0.066,7.01e-05,0.99993,Existing Customer,72695.0,6057.916666666667,37.57067198569365,Medium Risk,639.0,0,0,,0.0
807030858,Existing Customer,51,M,4,High School,Single,$120K +,Blue,46,6,3,3,34516.0,2274,32242.0,0.788,1795.0,47.0,0.679,0.066,0.00030842,0.99969,Existing Customer,132208.0,11017.333333333334,20.64020331598693,Low Risk,624.0,0,0,,0.0
826451433,Existing Customer,42,M,4,Graduate,Single,$80K - $120K,Silver,38,2,1,3,34516.0,2273,32243.0,0.86,8502.0,103.0,0.717,0.066,8.78e-05,0.99991,Existing Customer,108182.0,9015.166666666666,25.21306686879518,Low Risk,500.0,0,0,,0.0
810347208,Existing Customer,51,M,4,Unknown,Married,$120K +,Gold,46,6,1,3,34516.0,2264,32252.0,1.975,1330.0,31.0,0.722,0.066,0.00012303,0.99988,Existing Customer,171956.0,14329.666666666666,15.7993905417665,Low Risk,813.0,1,1,2023-03-30 20:42:57.584544,5329.25
712029783,Existing Customer,42,M,4,Uneducated,Single,$80K - $120K,Silver,36,2,2,1,34516.0,2253,32263.0,0.853,7836.0,93.0,0.603,0.065,6.69e-05,0.99993,Existing Customer,95588.0,7965.666666666667,28.28388500648617,Low Risk,504.0,0,0,,0.0
715601808,Existing Customer,50,M,3,Graduate,Married,$120K +,Blue,41,4,2,3,34516.0,2253,32263.0,1.032,16692.0,131.0,0.795,0.065,0.00019864,0.9998,Existing Customer,151125.0,12593.75,17.889826302729528,Low Risk,693.0,0,0,,0.0
716758908,Existing Customer,46,M,3,Uneducated,Single,$120K +,Blue,27,4,2,3,34516.0,2213,32303.0,0.584,4492.0,71.0,0.821,0.064,0.00020424,0.9998,Existing Customer,134854.0,11237.833333333334,19.69240808578166,Low Risk,769.0,0,0,,0.0
714465558,Existing Customer,41,M,4,Unknown,Married,$120K +,Silver,36,3,1,4,34516.0,2205,32311.0,0.897,15033.0,98.0,0.922,0.064,0.00016461,0.99984,Existing Customer,120630.0,10052.5,21.934842079084802,Low Risk,580.0,1,5,2020-10-29 20:42:57.584555,15427.48
713475633,Existing Customer,40,M,5,Unknown,Single,$120K +,Silver,31,1,3,3,34516.0,2203,32313.0,0.728,14204.0,96.0,0.92,0.064,0.00031018,0.99969,Existing Customer,188148.0,15679.0,14.050640984756683,Low Risk,756.0,0,0,,0.0
710047533,Attrited Customer,51,M,3,Graduate,Single,$80K - $120K,Gold,36,4,3,3,34516.0,2201,32315.0,0.978,8614.0,63.0,0.75,0.064,0.99724,0.00275658,Involuntary,80660.0,6721.666666666667,32.744854946689806,Low Risk,632.0,0,0,,0.0
719991783,Existing Customer,40,M,2,High School,Married,$80K - $120K,Silver,36,5,3,0,34516.0,2183,32333.0,0.739,3644.0,67.0,0.634,0.063,5.83e-05,0.99994,Existing Customer,113350.0,9445.833333333334,23.11071901191001,Low Risk,584.0,0,0,,0.0
720214833,Existing Customer,52,M,2,High School,Single,$80K - $120K,Silver,40,3,3,3,34516.0,2177,32339.0,1.32,1234.0,23.0,1.875,0.063,0.00026573,0.99973,Existing Customer,89550.0,7462.5,29.172529313232832,Low Risk,470.0,0,0,,0.0
715383108,Existing Customer,52,M,2,Graduate,Single,$120K +,Blue,44,5,1,1,34516.0,2174,32342.0,0.426,1616.0,50.0,0.515,0.063,3.32e-05,0.99997,Existing Customer,187521.0,15626.75,13.912041851312654,Low Risk,778.0,0,0,,0.0
719554758,Existing Customer,46,M,2,Uneducated,Married,$80K - $120K,Blue,38,6,3,2,34516.0,2165,32351.0,0.837,1672.0,32.0,0.524,0.063,0.00018494,0.99982,Existing Customer,90161.0,7513.416666666667,28.815119619347612,Low Risk,616.0,1,4,2023-07-08 20:42:57.584566,7735.45
708697983,Existing Customer,56,M,0,High School,Unknown,$120K +,Blue,49,2,2,2,34516.0,2156,32360.0,0.698,8766.0,78.0,0.814,0.062,9.5e-05,0.99991,Existing Customer,196104.0,16342.0,13.192999632847876,Low Risk,723.0,0,0,,0.0
710106933,Existing Customer,32,M,2,Uneducated,Single,$80K - $120K,Silver,20,2,3,3,34516.0,2136,32380.0,0.849,14667.0,119.0,0.75,0.062,0.00028105,0.99972,Existing Customer,90554.0,7546.166666666667,28.305762307573378,Low Risk,837.0,0,0,,0.0
809358708,Existing Customer,38,M,3,Unknown,Single,$80K - $120K,Blue,33,6,2,2,34516.0,2135,32381.0,0.488,3514.0,63.0,0.703,0.062,0.00012982,0.99987,Existing Customer,117670.0,9805.833333333334,21.772754312908983,Low Risk,538.0,0,0,,0.0
712797258,Existing Customer,43,M,3,Graduate,Married,$120K +,Blue,33,3,1,3,34516.0,2129,32387.0,0.587,1463.0,38.0,0.583,0.062,9.61e-05,0.9999,Existing Customer,137500.0,11458.333333333334,18.580363636363636,Low Risk,765.0,0,0,,0.0
817908783,Existing Customer,44,M,3,Unknown,Single,$120K +,Silver,39,2,3,1,34516.0,2123,32393.0,0.801,14242.0,107.0,0.551,0.062,0.0001118,0.99989,Existing Customer,176761.0,14730.083333333334,14.412681530428092,Low Risk,463.0,0,0,,0.0
789289383,Existing Customer,42,M,3,Graduate,Single,$80K - $120K,Silver,31,2,2,3,34516.0,2120,32396.0,0.9,14626.0,97.0,0.644,0.061,0.00017949,0.99982,Existing Customer,97556.0,8129.666666666667,26.07732994382713,Low Risk,691.0,0,0,,0.0
827332983,Existing Customer,46,M,3,High School,Single,$80K - $120K,Gold,42,3,2,2,34516.0,2113,32403.0,0.618,1362.0,31.0,1.214,0.061,0.00013228,0.99987,Existing Customer,107172.0,8931.0,23.659164707199643,Low Risk,714.0,0,0,,0.0
780707733,Existing Customer,41,M,1,Graduate,Married,$80K - $120K,Blue,30,3,3,2,34516.0,2109,32407.0,0.703,6832.0,87.0,0.706,0.061,0.00016883,0.99983,Existing Customer,83995.0,6999.583333333333,30.13036490267278,Low Risk,795.0,0,0,,0.0
712003083,Existing Customer,55,M,1,Graduate,Married,$80K - $120K,Blue,36,3,2,4,34516.0,2102,32414.0,0.912,1612.0,33.0,0.737,0.061,0.00030653,0.99969,Existing Customer,116533.0,9711.083333333334,21.645370839161437,Low Risk,502.0,0,0,,0.0
821836008,Existing Customer,57,M,2,Uneducated,Single,$80K - $120K,Blue,53,5,2,4,34516.0,2099,32417.0,0.629,1233.0,26.0,0.857,0.061,0.00033577,0.99966,Existing Customer,98714.0,8226.166666666666,25.516137528618028,Low Risk,835.0,0,0,,0.0
711835758,Existing Customer,50,M,3,Graduate,Married,$120K +,Blue,42,4,5,3,34516.0,2099,32417.0,0.449,1756.0,35.0,0.25,0.061,0.0003506,0.99965,Existing Customer,173298.0,14441.5,14.534501263719143,Low Risk,789.0,0,0,,0.0
779852133,Existing Customer,48,M,2,Unknown,Married,$120K +,Silver,32,3,2,4,34516.0,2098,32418.0,0.741,3093.0,66.0,0.784,0.061,0.00032434,0.99968,Existing Customer,125180.0,10431.666666666666,20.111838951909252,Low Risk,541.0,0,0,,0.0
717521508,Existing Customer,41,M,3,High School,Single,$80K - $120K,Gold,28,2,2,0,34516.0,2098,32418.0,0.746,6932.0,87.0,0.526,0.061,4.88e-05,0.99995,Existing Customer,84702.0,7058.5,29.723028972161224,Low Risk,816.0,1,3,2024-06-01 20:42:57.584576,15112.26
719658858,Existing Customer,50,F,4,Doctorate,Married,Unknown,Silver,36,3,2,1,34516.0,2096,32420.0,0.666,7042.0,73.0,0.553,0.061,9.41e-05,0.99991,Existing Customer,,,,High Risk,713.0,1,2,2025-01-19 20:42:57.584587,11790.81
717370533,Existing Customer,40,M,3,Post-Graduate,Single,$120K +,Blue,26,1,2,1,34516.0,2088,32428.0,0.627,6453.0,89.0,0.589,0.06,8.38e-05,0.99992,Existing Customer,191969.0,15997.416666666666,13.052107371502691,Low Risk,484.0,0,0,,0.0
779685558,Existing Customer,53,M,5,Graduate,Single,$120K +,Gold,36,2,4,1,34516.0,2088,32428.0,0.822,15290.0,123.0,0.732,0.06,0.00015593,0.99984,Existing Customer,192990.0,16082.5,12.983056116897249,Low Risk,655.0,0,0,,0.0
712372158,Existing Customer,45,M,4,Unknown,Married,$120K +,Blue,33,6,1,3,34516.0,2086,32430.0,0.986,1859.0,47.0,0.958,0.06,0.00010679,0.99989,Existing Customer,178825.0,14902.083333333334,13.998042779253458,Low Risk,530.0,0,0,,0.0
713600958,Existing Customer,50,M,1,Unknown,Married,$120K +,Blue,38,4,5,3,34516.0,2076,32440.0,0.812,3647.0,65.0,0.667,0.06,0.00034859,0.99965,Existing Customer,193325.0,16110.416666666666,12.886072675546359,Low Risk,499.0,0,0,,0.0
794494308,Existing Customer,42,M,3,Uneducated,Married,$120K +,Platinum,23,3,4,3,34516.0,2070,32446.0,0.88,13781.0,102.0,0.545,0.06,0.00067743,0.99932,Existing Customer,130405.0,10867.083333333334,19.048349373106856,Low Risk,809.0,1,4,2021-05-31 20:42:57.584597,17450.43
779749908,Existing Customer,48,M,4,College,Married,$60K - $80K,Gold,33,2,2,3,34516.0,2061,32455.0,0.722,1350.0,32.0,0.455,0.06,0.00022488,0.99978,Existing Customer,70722.0,5893.5,34.97073046576737,Low Risk,837.0,0,0,,0.0
713977308,Existing Customer,62,M,1,Graduate,Single,$120K +,Blue,53,4,3,4,34516.0,2061,32455.0,0.564,3820.0,76.0,0.767,0.06,0.00048435,0.99952,Existing Customer,188545.0,15712.083333333334,13.117292953936726,Low Risk,451.0,0,0,,0.0
712287333,Existing Customer,39,M,1,Uneducated,Single,$80K - $120K,Blue,30,3,1,4,34516.0,2055,32461.0,0.589,4048.0,74.0,0.51,0.06,0.00015252,0.99985,Existing Customer,95760.0,7980.0,25.75187969924812,Low Risk,839.0,0,0,,0.0
713843283,Existing Customer,41,F,3,Unknown,Married,Unknown,Silver,34,5,3,3,34516.0,2053,32463.0,1.034,1487.0,26.0,0.733,0.059,0.00031177,0.99969,Existing Customer,,,,High Risk,503.0,0,0,,0.0
774675933,Existing Customer,40,M,3,College,Divorced,$80K - $120K,Silver,34,2,1,3,34516.0,2052,32464.0,0.477,3510.0,62.0,0.476,0.059,8.44e-05,0.99992,Existing Customer,119242.0,9936.833333333334,20.650441958370372,Low Risk,555.0,0,0,,0.0
787467858,Existing Customer,43,M,1,High School,Married,$80K - $120K,Silver,30,1,1,3,34516.0,2045,32471.0,0.59,4081.0,54.0,0.421,0.059,7.64e-05,0.99992,Existing Customer,97950.0,8162.5,25.053598774885145,Low Risk,709.0,1,1,2021-02-02 20:42:57.584608,11165.03
713105508,Existing Customer,46,M,3,High School,Single,$60K - $80K,Silver,29,4,3,3,34516.0,2040,32476.0,0.764,3754.0,53.0,1.038,0.059,0.00027574,0.99972,Existing Customer,72408.0,6034.0,33.80841895923103,Low Risk,759.0,0,0,,0.0
708710283,Existing Customer,45,M,5,Doctorate,Married,$120K +,Silver,36,6,1,4,34516.0,2038,32478.0,1.007,4067.0,75.0,1.206,0.059,0.00021333,0.99979,Existing Customer,134395.0,11199.583333333334,18.197105547081364,Low Risk,640.0,0,0,,0.0
719768658,Existing Customer,31,F,0,College,Married,Unknown,Silver,24,2,3,1,34516.0,2032,32484.0,0.82,14544.0,104.0,0.705,0.059,8.18e-05,0.99992,Existing Customer,,,,High Risk,667.0,0,0,,0.0
711813258,Existing Customer,56,M,2,College,Single,$60K - $80K,Gold,43,2,1,2,34516.0,2022,32494.0,0.761,13633.0,116.0,0.785,0.059,6.17e-05,0.99994,Existing Customer,78956.0,6579.666666666667,30.73104007295202,Low Risk,493.0,0,0,,0.0
710301858,Existing Customer,49,F,5,High School,Married,Unknown,Silver,36,6,2,2,34516.0,2019,32497.0,0.614,3820.0,72.0,0.532,0.058,0.00010322,0.9999,Existing Customer,,,,High Risk,611.0,1,3,2025-06-25 20:42:57.584632,4119.73
812618883,Existing Customer,47,M,2,High School,Divorced,Unknown,Silver,42,1,2,2,34516.0,2019,32497.0,0.706,7774.0,95.0,0.583,0.058,0.0001,0.9999,Existing Customer,,,,High Risk,651.0,0,0,,0.0
