CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2,Attrition_Type,annual_income,monthly_income,DTI_ratio,Risk_Level,Credit_Score,Loan_Default_Flag,Number_of_Defaults,Last_Default_Date,Default_Amount
714751158,Attrited Customer,49,M,2,High School,Divorced,$80K - $120K,Blue,36,4,2,4,34516.0,2517,31999.0,0.376,1789.0,48.0,0.455,0.073,0.99686,0.00313909,Involuntary,104058.0,8671.5,29.026120048434528,Low Risk,553.0,0,0,,0.0
771795933,Attrited Customer,49,M,4,Unknown,Single,$120K +,Blue,38,3,3,4,34516.0,2517,31999.0,0.7,2376.0,55.0,0.486,0.073,0.99832,0.00167742,Voluntary,120858.0,10071.5,24.99131211835377,Low Risk,596.0,0,0,,0.0
751518633,Attrited Customer,48,M,5,Post-Graduate,Single,$120K +,Silver,41,5,3,1,34516.0,2517,31999.0,0.553,2260.0,50.0,0.786,0.073,0.99167,0.00833,Involuntary,123558.0,10296.5,24.445199825183312,Low Risk,314.0,0,0,,0.0
710662158,Existing Customer,41,M,4,Unknown,Married,$120K +,Blue,34,1,3,3,34516.0,2517,31999.0,0.434,2051.0,41.0,1.05,0.073,0.00034872,0.99965,,158061.0,13171.75,19.109078140717823,Low Risk,514.0,0,0,,0.0
708672708,Existing Customer,49,M,4,High School,Unknown,$80K - $120K,Blue,31,2,3,3,34516.0,2517,31999.0,0.71,3990.0,65.0,1.031,0.073,0.00030842,0.99969,,89546.0,7462.166666666667,33.73014986710741,Low Risk,630.0,0,0,,0.0
789363408,Existing Customer,44,M,3,High School,Married,$120K +,Silver,34,3,1,2,34516.0,2517,31999.0,0.814,7427.0,83.0,0.566,0.073,5.02e-05,0.99995,,143575.0,11964.583333333334,21.037088629636077,Low Risk,758.0,0,0,,0.0
718665933,Existing Customer,43,M,3,Unknown,Divorced,$120K +,Blue,30,3,1,2,34516.0,2517,31999.0,0.77,7437.0,86.0,0.623,0.073,6.28e-05,0.99994,,158671.0,13222.583333333334,19.035614573551563,Low Risk,387.0,0,0,,0.0
809464608,Attrited Customer,47,F,3,High School,Married,Unknown,Silver,31,3,3,2,34516.0,2517,31999.0,0.618,2691.0,42.0,0.5,0.073,0.99394,0.00606,Voluntary,,,,High Risk,661.0,0,0,,0.0
719178183,Existing Customer,50,M,2,Graduate,Married,$80K - $120K,Silver,42,2,3,3,34516.0,2517,31999.0,0.759,8186.0,85.0,0.635,0.073,0.00027334,0.99973,,85388.0,7115.666666666667,35.372651894879844,Low Risk,672.0,1,4,2025-03-04 16:08:00.208214,7738.09
716704158,Existing Customer,50,M,1,Doctorate,Married,$120K +,Blue,39,2,3,2,34516.0,2517,31999.0,0.778,8087.0,86.0,0.509,0.073,0.00024431,0.99976,,160316.0,13359.666666666666,18.840290426407847,Low Risk,399.0,1,2,2023-06-24 16:08:00.208214,3887.1
714510483,Existing Customer,44,M,3,Graduate,Single,$80K - $120K,Gold,36,2,3,3,34516.0,2517,31999.0,0.703,7640.0,87.0,0.582,0.073,0.00036164,0.99964,,110216.0,9184.666666666666,27.404369601509764,Low Risk,430.0,0,0,,0.0
711436983,Existing Customer,57,M,3,Unknown,Single,$120K +,Silver,49,1,2,1,34516.0,2517,31999.0,0.693,8596.0,102.0,0.672,0.073,7.07e-05,0.99993,,146794.0,12232.833333333334,20.575772851751434,Low Risk,608.0,1,2,2020-10-10 16:08:00.208214,11888.6
714391683,Attrited Customer,39,M,4,Unknown,Married,$60K - $80K,Gold,36,4,3,2,34516.0,2517,31999.0,0.841,8248.0,66.0,0.65,0.073,0.99583,0.00416767,Involuntary,74447.0,6203.916666666667,40.571144572649,Medium Risk,429.0,0,0,,0.0
713390433,Attrited Customer,44,M,3,Graduate,Unknown,$60K - $80K,Gold,29,2,3,2,34516.0,2517,31999.0,0.579,6782.0,67.0,0.763,0.073,0.99537,0.00462792,Voluntary,64864.0,5405.333333333333,46.56512086827825,Medium Risk,762.0,0,0,,0.0
715321008,Attrited Customer,39,M,2,Unknown,Married,$120K +,Blue,36,6,3,3,34516.0,2517,31999.0,1.052,7866.0,63.0,0.75,0.073,0.997,0.00299743,Involuntary,155204.0,12933.666666666666,19.46083863817943,Low Risk,360.0,1,1,2021-12-19 16:08:00.208214,11112.88
712841883,Attrited Customer,50,M,3,College,Single,$80K - $120K,Silver,36,3,3,2,34516.0,2517,31999.0,0.735,7155.0,66.0,0.65,0.073,0.99394,0.00606,Voluntary,98696.0,8224.666666666666,30.603063953959637,Low Risk,737.0,0,0,,0.0
710178558,Attrited Customer,46,M,2,High School,Married,$60K - $80K,Gold,38,5,3,6,34516.0,2517,31999.0,0.956,9314.0,89.0,0.978,0.073,0.99943,0.00056902,Involuntary,63962.0,5330.166666666667,47.22178793658735,Medium Risk,414.0,0,0,,0.0
789105183,Existing Customer,54,M,3,Post-Graduate,Single,$80K - $120K,Silver,42,3,1,2,34516.0,2488,32028.0,0.552,4401.0,87.0,0.776,0.072,6.08e-05,0.99994,,102745.0,8562.083333333334,29.058348338118638,Low Risk,643.0,0,0,,0.0
715839708,Existing Customer,51,M,1,Graduate,Married,$120K +,Blue,39,2,3,2,34516.0,2452,32064.0,0.707,7111.0,82.0,0.608,0.071,0.00016883,0.99983,,146910.0,12242.5,20.028588931999185,Low Risk,791.0,0,0,,0.0
712268808,Existing Customer,55,M,4,Graduate,Single,$120K +,Silver,36,2,2,3,34516.0,2443,32073.0,0.827,8765.0,105.0,0.721,0.071,0.00018141,0.99982,,122878.0,10239.833333333334,23.85781018571266,Low Risk,713.0,0,0,,0.0
709826058,Existing Customer,49,M,2,Unknown,Married,$80K - $120K,Blue,36,3,1,1,34516.0,2435,32081.0,0.732,1805.0,34.0,0.619,0.071,3.65e-05,0.99996,,104176.0,8681.333333333334,28.048686837659343,Low Risk,685.0,1,4,2025-06-13 16:08:00.208214,19526.92
713916708,Existing Customer,53,M,3,Graduate,Single,$120K +,Gold,43,3,1,3,34516.0,2435,32081.0,0.77,7758.0,98.0,0.719,0.071,0.00011075,0.99989,,154397.0,12866.416666666666,18.925238184679756,Low Risk,491.0,1,4,2021-05-22 16:08:00.208214,8541.97
715749108,Existing Customer,48,M,3,Graduate,Married,$60K - $80K,Gold,37,5,1,2,34516.0,2429,32087.0,0.742,3205.0,57.0,0.727,0.07,6.58e-05,0.99993,,75124.0,6260.333333333333,38.79985091315692,Medium Risk,576.0,0,0,,0.0
770560683,Existing Customer,51,M,1,Graduate,Married,$120K +,Gold,37,2,3,1,34516.0,2417,32099.0,0.947,13021.0,117.0,0.625,0.07,0.00011731,0.99988,,141278.0,11773.166666666666,20.529735698410228,Low Risk,460.0,0,0,,0.0
721243083,Attrited Customer,55,M,3,Uneducated,Divorced,$80K - $120K,Blue,41,1,3,4,34516.0,2408,32108.0,0.796,1187.0,40.0,0.6,0.07,0.99819,0.00181217,Voluntary,83793.0,6982.75,34.484980845655365,Low Risk,426.0,0,0,,0.0
712407033,Existing Customer,26,F,0,Uneducated,Unknown,Unknown,Silver,13,1,2,3,34516.0,2403,32113.0,0.623,4174.0,59.0,0.735,0.07,0.00015262,0.99985,,,,,High Risk,759.0,0,0,,0.0
720323208,Existing Customer,43,M,2,Graduate,Married,$120K +,Silver,31,6,2,4,34516.0,2398,32118.0,0.917,4976.0,88.0,0.692,0.069,0.00029507,0.9997,,195058.0,16254.833333333334,14.752535143393247,Low Risk,613.0,0,0,,0.0
718851783,Existing Customer,49,M,1,High School,Married,$80K - $120K,Silver,37,4,3,2,34516.0,2386,32130.0,0.698,3924.0,65.0,0.512,0.069,0.0001483,0.99985,,101876.0,8489.666666666666,28.104754799952886,Low Risk,321.0,0,0,,0.0
811793433,Existing Customer,50,F,3,Graduate,Divorced,Unknown,Silver,45,2,1,2,34516.0,2381,32135.0,0.748,15071.0,103.0,0.717,0.069,5.16e-05,0.99995,,,,,High Risk,552.0,1,3,2021-09-30 16:08:00.208214,8719.7
709912683,Existing Customer,53,F,4,Graduate,Single,Unknown,Gold,41,5,1,2,34516.0,2374,32142.0,0.81,4390.0,77.0,0.604,0.069,6.65e-05,0.99993,,,,,High Risk,774.0,0,0,,0.0
815353083,Attrited Customer,44,M,1,College,Divorced,$80K - $120K,Silver,39,2,3,2,34516.0,2361,32155.0,0.529,1853.0,36.0,0.385,0.068,0.9933,0.0067,Involuntary,102980.0,8581.666666666666,27.512138279277533,Low Risk,619.0,0,0,,0.0
709066983,Existing Customer,50,M,4,High School,Married,$120K +,Blue,41,2,2,2,34516.0,2353,32163.0,0.667,15214.0,129.0,0.675,0.068,0.00011604,0.99988,,160378.0,13364.833333333334,17.605906046964044,Low Risk,358.0,0,0,,0.0
779885358,Existing Customer,51,M,0,College,Married,$120K +,Silver,35,5,1,2,34516.0,2332,32184.0,0.8,4587.0,82.0,0.745,0.068,4.15e-05,0.99996,,131939.0,10994.916666666666,21.20980149917765,Low Risk,810.0,0,0,,0.0
720412308,Existing Customer,40,M,4,Unknown,Married,$80K - $120K,Blue,36,2,1,1,34516.0,2330,32186.0,0.693,7635.0,75.0,0.667,0.068,3.83e-05,0.99996,,83200.0,6933.333333333333,33.60576923076923,Low Risk,775.0,0,0,,0.0
713671158,Existing Customer,46,M,2,Uneducated,Single,$120K +,Blue,32,2,3,1,34516.0,2328,32188.0,0.855,15754.0,121.0,0.729,0.067,0.00011153,0.99989,,154059.0,12838.25,18.133312562070376,Low Risk,489.0,0,0,,0.0
714199983,Existing Customer,48,M,3,Uneducated,Single,$60K - $80K,Gold,40,5,2,5,34516.0,2317,32199.0,0.699,3927.0,68.0,0.7,0.067,0.00069441,0.99931,,69698.0,5808.166666666667,39.89210594278171,Medium Risk,543.0,1,3,2023-02-04 16:08:00.208214,3695.49
716864733,Existing Customer,47,M,3,College,Married,$120K +,Silver,27,6,3,3,34516.0,2315,32201.0,0.599,1805.0,46.0,0.704,0.067,0.00027576,0.99972,,139185.0,11598.75,19.959047311132665,Low Risk,804.0,1,5,2024-10-22 16:08:00.208214,12152.65
788890533,Existing Customer,54,M,2,College,Married,$80K - $120K,Silver,39,4,1,4,34516.0,2305,32211.0,0.586,13756.0,106.0,0.71,0.067,0.00013883,0.99986,,117003.0,9750.25,23.640419476423684,Low Risk,430.0,0,0,,0.0
787921383,Attrited Customer,53,M,0,High School,Single,$120K +,Silver,44,2,4,4,34516.0,2297,32219.0,0.416,1461.0,43.0,0.536,0.067,0.99788,0.0021218,Voluntary,123583.0,10298.583333333334,22.304038581358277,Low Risk,496.0,1,3,2021-12-29 16:08:00.208214,17033.12
751166508,Existing Customer,57,M,3,Post-Graduate,Single,$80K - $120K,Blue,50,3,1,1,34516.0,2293,32223.0,0.799,14287.0,114.0,0.754,0.066,4.06e-05,0.99996,,107462.0,8955.166666666666,25.605330256276638,Low Risk,784.0,1,1,2021-02-12 16:08:00.213210,5334.5
714959358,Attrited Customer,50,M,3,High School,Married,$80K - $120K,Silver,36,5,3,3,34516.0,2292,32224.0,0.876,8045.0,71.0,0.868,0.066,0.99639,0.00361254,Involuntary,88141.0,7345.083333333333,31.20454725950466,Low Risk,607.0,1,3,2024-02-02 16:08:00.213210,677.02
720422358,Existing Customer,42,M,1,Post-Graduate,Single,$60K - $80K,Gold,36,1,1,2,34516.0,2276,32240.0,0.767,7485.0,90.0,0.552,0.066,7.01e-05,0.99993,,79327.0,6610.583333333333,34.429639340955795,Low Risk,320.0,0,0,,0.0
807030858,Existing Customer,51,M,4,High School,Single,$120K +,Blue,46,6,3,3,34516.0,2274,32242.0,0.788,1795.0,47.0,0.679,0.066,0.00030842,0.99969,,152884.0,12740.333333333334,17.84882656131446,Low Risk,466.0,0,0,,0.0
826451433,Existing Customer,42,M,4,Graduate,Single,$80K - $120K,Silver,38,2,1,3,34516.0,2273,32243.0,0.86,8502.0,103.0,0.717,0.066,8.78e-05,0.99991,,110255.0,9187.916666666666,24.73901410366877,Low Risk,573.0,0,0,,0.0
810347208,Existing Customer,51,M,4,Unknown,Married,$120K +,Gold,46,6,1,3,34516.0,2264,32252.0,1.975,1330.0,31.0,0.722,0.066,0.00012303,0.99988,,161894.0,13491.166666666666,16.78135076037407,Low Risk,687.0,1,3,2021-11-05 16:08:00.213210,13983.74
712029783,Existing Customer,42,M,4,Uneducated,Single,$80K - $120K,Silver,36,2,2,1,34516.0,2253,32263.0,0.853,7836.0,93.0,0.603,0.065,6.69e-05,0.99993,,106432.0,8869.333333333334,25.40213469633193,Low Risk,615.0,0,0,,0.0
715601808,Existing Customer,50,M,3,Graduate,Married,$120K +,Blue,41,4,2,3,34516.0,2253,32263.0,1.032,16692.0,131.0,0.795,0.065,0.00019864,0.9998,,133297.0,11108.083333333334,20.282526988604392,Low Risk,313.0,0,0,,0.0
716758908,Existing Customer,46,M,3,Uneducated,Single,$120K +,Blue,27,4,2,3,34516.0,2213,32303.0,0.584,4492.0,71.0,0.821,0.064,0.00020424,0.9998,,170498.0,14208.166666666666,15.575549273305258,Low Risk,541.0,0,0,,0.0
714465558,Existing Customer,41,M,4,Unknown,Married,$120K +,Silver,36,3,1,4,34516.0,2205,32311.0,0.897,15033.0,98.0,0.922,0.064,0.00016461,0.99984,,121967.0,10163.916666666666,21.69439274557872,Low Risk,645.0,1,1,2021-04-10 16:08:00.213210,1111.79
713475633,Existing Customer,40,M,5,Unknown,Single,$120K +,Silver,31,1,3,3,34516.0,2203,32313.0,0.728,14204.0,96.0,0.92,0.064,0.00031018,0.99969,,156569.0,13047.416666666666,16.88456846502181,Low Risk,639.0,0,0,,0.0
710047533,Attrited Customer,51,M,3,Graduate,Single,$80K - $120K,Gold,36,4,3,3,34516.0,2201,32315.0,0.978,8614.0,63.0,0.75,0.064,0.99724,0.00275658,Voluntary,103244.0,8603.666666666666,25.582116152028206,Low Risk,520.0,0,0,,0.0
719991783,Existing Customer,40,M,2,High School,Married,$80K - $120K,Silver,36,5,3,0,34516.0,2183,32333.0,0.739,3644.0,67.0,0.634,0.063,5.83e-05,0.99994,,86722.0,7226.833333333333,30.20686792278776,Low Risk,391.0,0,0,,0.0
720214833,Existing Customer,52,M,2,High School,Single,$80K - $120K,Silver,40,3,3,3,34516.0,2177,32339.0,1.32,1234.0,23.0,1.875,0.063,0.00026573,0.99973,,99338.0,8278.166666666666,26.298093378163443,Low Risk,666.0,0,0,,0.0
715383108,Existing Customer,52,M,2,Graduate,Single,$120K +,Blue,44,5,1,1,34516.0,2174,32342.0,0.426,1616.0,50.0,0.515,0.063,3.32e-05,0.99997,,191213.0,15934.416666666666,13.643423825785906,Low Risk,754.0,0,0,,0.0
719554758,Existing Customer,46,M,2,Uneducated,Married,$80K - $120K,Blue,38,6,3,2,34516.0,2165,32351.0,0.837,1672.0,32.0,0.524,0.063,0.00018494,0.99982,,95563.0,7963.583333333333,27.186254094157782,Low Risk,727.0,1,1,2021-09-09 16:08:00.213210,8480.89
708697983,Existing Customer,56,M,0,High School,Unknown,$120K +,Blue,49,2,2,2,34516.0,2156,32360.0,0.698,8766.0,78.0,0.814,0.062,9.5e-05,0.99991,,144284.0,12023.666666666666,17.931302154085,Low Risk,808.0,0,0,,0.0
710106933,Existing Customer,32,M,2,Uneducated,Single,$80K - $120K,Silver,20,2,3,3,34516.0,2136,32380.0,0.849,14667.0,119.0,0.75,0.062,0.00028105,0.99972,,116117.0,9676.416666666666,22.07428714141771,Low Risk,334.0,0,0,,0.0
809358708,Existing Customer,38,M,3,Unknown,Single,$80K - $120K,Blue,33,6,2,2,34516.0,2135,32381.0,0.488,3514.0,63.0,0.703,0.062,0.00012982,0.99987,,84336.0,7028.0,30.378486055776893,Low Risk,505.0,0,0,,0.0
712797258,Existing Customer,43,M,3,Graduate,Married,$120K +,Blue,33,3,1,3,34516.0,2129,32387.0,0.587,1463.0,38.0,0.583,0.062,9.61e-05,0.9999,,196891.0,16407.583333333332,12.975707371083494,Low Risk,380.0,0,0,,0.0
817908783,Existing Customer,44,M,3,Unknown,Single,$120K +,Silver,39,2,3,1,34516.0,2123,32393.0,0.801,14242.0,107.0,0.551,0.062,0.0001118,0.99989,,197146.0,16428.833333333332,12.922402686333987,Low Risk,687.0,0,0,,0.0
789289383,Existing Customer,42,M,3,Graduate,Single,$80K - $120K,Silver,31,2,2,3,34516.0,2120,32396.0,0.9,14626.0,97.0,0.644,0.061,0.00017949,0.99982,,89415.0,7451.25,28.45160208018789,Low Risk,301.0,0,0,,0.0
827332983,Existing Customer,46,M,3,High School,Single,$80K - $120K,Gold,42,3,2,2,34516.0,2113,32403.0,0.618,1362.0,31.0,1.214,0.061,0.00013228,0.99987,,100219.0,8351.583333333334,25.300591704167868,Low Risk,689.0,0,0,,0.0
780707733,Existing Customer,41,M,1,Graduate,Married,$80K - $120K,Blue,30,3,3,2,34516.0,2109,32407.0,0.703,6832.0,87.0,0.706,0.061,0.00016883,0.99983,,92373.0,7697.75,27.397616186548017,Low Risk,405.0,0,0,,0.0
712003083,Existing Customer,55,M,1,Graduate,Married,$80K - $120K,Blue,36,3,2,4,34516.0,2102,32414.0,0.912,1612.0,33.0,0.737,0.061,0.00030653,0.99969,,87255.0,7271.25,28.908372013065154,Low Risk,776.0,0,0,,0.0
821836008,Existing Customer,57,M,2,Uneducated,Single,$80K - $120K,Blue,53,5,2,4,34516.0,2099,32417.0,0.629,1233.0,26.0,0.857,0.061,0.00033577,0.99966,,113901.0,9491.75,22.113941054073276,Low Risk,701.0,0,0,,0.0
711835758,Existing Customer,50,M,3,Graduate,Married,$120K +,Blue,42,4,5,3,34516.0,2099,32417.0,0.449,1756.0,35.0,0.25,0.061,0.0003506,0.99965,,157461.0,13121.75,15.996341951340332,Low Risk,461.0,0,0,,0.0
779852133,Existing Customer,48,M,2,Unknown,Married,$120K +,Silver,32,3,2,4,34516.0,2098,32418.0,0.741,3093.0,66.0,0.784,0.061,0.00032434,0.99968,,167471.0,13955.916666666666,15.033050498295228,Low Risk,501.0,0,0,,0.0
717521508,Existing Customer,41,M,3,High School,Single,$80K - $120K,Gold,28,2,2,0,34516.0,2098,32418.0,0.746,6932.0,87.0,0.526,0.061,4.88e-05,0.99995,,119396.0,9949.666666666666,21.08613353881202,Low Risk,569.0,1,5,2020-09-20 16:08:00.213210,12447.85
719658858,Existing Customer,50,F,4,Doctorate,Married,Unknown,Silver,36,3,2,1,34516.0,2096,32420.0,0.666,7042.0,73.0,0.553,0.061,9.41e-05,0.99991,,,,,High Risk,570.0,1,4,2025-05-12 16:08:00.213210,8027.23
717370533,Existing Customer,40,M,3,Post-Graduate,Single,$120K +,Blue,26,1,2,1,34516.0,2088,32428.0,0.627,6453.0,89.0,0.589,0.06,8.38e-05,0.99992,,185416.0,15451.333333333334,13.51339690210122,Low Risk,755.0,0,0,,0.0
779685558,Existing Customer,53,M,5,Graduate,Single,$120K +,Gold,36,2,4,1,34516.0,2088,32428.0,0.822,15290.0,123.0,0.732,0.06,0.00015593,0.99984,,163350.0,13612.5,15.338842975206612,Low Risk,761.0,0,0,,0.0
712372158,Existing Customer,45,M,4,Unknown,Married,$120K +,Blue,33,6,1,3,34516.0,2086,32430.0,0.986,1859.0,47.0,0.958,0.06,0.00010679,0.99989,,171390.0,14282.5,14.605286189392613,Low Risk,551.0,0,0,,0.0
713600958,Existing Customer,50,M,1,Unknown,Married,$120K +,Blue,38,4,5,3,34516.0,2076,32440.0,0.812,3647.0,65.0,0.667,0.06,0.00034859,0.99965,,180528.0,15044.0,13.799521403881945,Low Risk,595.0,0,0,,0.0
794494308,Existing Customer,42,M,3,Uneducated,Married,$120K +,Platinum,23,3,4,3,34516.0,2070,32446.0,0.88,13781.0,102.0,0.545,0.06,0.00067743,0.99932,,135050.0,11254.166666666666,18.393187708256203,Low Risk,637.0,1,3,2021-10-21 16:08:00.213210,5581.28
779749908,Existing Customer,48,M,4,College,Married,$60K - $80K,Gold,33,2,2,3,34516.0,2061,32455.0,0.722,1350.0,32.0,0.455,0.06,0.00022488,0.99978,,62815.0,5234.583333333333,39.37276128313301,Medium Risk,352.0,0,0,,0.0
713977308,Existing Customer,62,M,1,Graduate,Single,$120K +,Blue,53,4,3,4,34516.0,2061,32455.0,0.564,3820.0,76.0,0.767,0.06,0.00048435,0.99952,,147261.0,12271.75,16.79467068673987,Low Risk,516.0,0,0,,0.0
712287333,Existing Customer,39,M,1,Uneducated,Single,$80K - $120K,Blue,30,3,1,4,34516.0,2055,32461.0,0.589,4048.0,74.0,0.51,0.06,0.00015252,0.99985,,109615.0,9134.583333333334,22.496921041828216,Low Risk,487.0,0,0,,0.0
713843283,Existing Customer,41,F,3,Unknown,Married,Unknown,Silver,34,5,3,3,34516.0,2053,32463.0,1.034,1487.0,26.0,0.733,0.059,0.00031177,0.99969,,,,,High Risk,679.0,0,0,,0.0
774675933,Existing Customer,40,M,3,College,Divorced,$80K - $120K,Silver,34,2,1,3,34516.0,2052,32464.0,0.477,3510.0,62.0,0.476,0.059,8.44e-05,0.99992,,95424.0,7952.0,25.80482897384306,Low Risk,792.0,0,0,,0.0
787467858,Existing Customer,43,M,1,High School,Married,$80K - $120K,Silver,30,1,1,3,34516.0,2045,32471.0,0.59,4081.0,54.0,0.421,0.059,7.64e-05,0.99992,,97227.0,8102.25,25.239902496220186,Low Risk,340.0,1,2,2023-10-27 16:08:00.213210,16085.7
713105508,Existing Customer,46,M,3,High School,Single,$60K - $80K,Silver,29,4,3,3,34516.0,2040,32476.0,0.764,3754.0,53.0,1.038,0.059,0.00027574,0.99972,,79801.0,6650.083333333333,30.676307314444685,Low Risk,456.0,0,0,,0.0
708710283,Existing Customer,45,M,5,Doctorate,Married,$120K +,Silver,36,6,1,4,34516.0,2038,32478.0,1.007,4067.0,75.0,1.206,0.059,0.00021333,0.99979,,192287.0,16023.916666666666,12.718488509363606,Low Risk,314.0,0,0,,0.0
719768658,Existing Customer,31,F,0,College,Married,Unknown,Silver,24,2,3,1,34516.0,2032,32484.0,0.82,14544.0,104.0,0.705,0.059,8.18e-05,0.99992,,,,,High Risk,364.0,0,0,,0.0
711813258,Existing Customer,56,M,2,College,Single,$60K - $80K,Gold,43,2,1,2,34516.0,2022,32494.0,0.761,13633.0,116.0,0.785,0.059,6.17e-05,0.99994,,77119.0,6426.583333333333,31.463063577069207,Low Risk,820.0,0,0,,0.0
710301858,Existing Customer,49,F,5,High School,Married,Unknown,Silver,36,6,2,2,34516.0,2019,32497.0,0.614,3820.0,72.0,0.532,0.058,0.00010322,0.9999,,,,,High Risk,643.0,1,4,2021-05-04 16:08:00.213210,6368.2
812618883,Existing Customer,47,M,2,High School,Divorced,Unknown,Silver,42,1,2,2,34516.0,2019,32497.0,0.706,7774.0,95.0,0.583,0.058,0.0001,0.9999,,,,,High Risk,428.0,0,0,,0.0
718379358,Existing Customer,39,M,1,Unknown,Single,$80K - $120K,Silver,28,3,1,3,34516.0,2017,32499.0,0.93,8453.0,90.0,0.731,0.058,8.64e-05,0.99991,,114485.0,9540.416666666666,21.141634275232565,Low Risk,771.0,0,0,,0.0
720897783,Existing Customer,50,M,1,Uneducated,Married,$120K +,Blue,30,6,2,5,34516.0,2010,32506.0,0.594,2776.0,59.0,0.735,0.058,0.00054528,0.99945,,155659.0,12971.583333333334,15.4954098381719,Low Risk,362.0,1,1,2021-11-15 16:08:00.213210,4010.91
713133258,Existing Customer,38,M,3,Unknown,Single,$80K - $120K,Silver,36,2,2,3,34516.0,2008,32508.0,0.858,8872.0,86.0,0.593,0.058,0.00019729,0.9998,,81920.0,6826.666666666667,29.4140625,Low Risk,438.0,0,0,,0.0
