CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2,Attrition_Type
787921383,Attrited Customer,53,M,0,High School,Single,$120K +,Silver,44,2,4,4,34516.0,2297,32219.0,0.416,1461.0,43.0,0.536,0.067,0.99788,0.0021218,Voluntary
714959358,Attrited Customer,50,M,3,High School,Married,$80K - $120K,Silver,36,5,3,3,34516.0,2292,32224.0,0.876,8045.0,71.0,0.868,0.066,0.99639,0.00361254,Involuntary
710047533,Attrited Customer,51,M,3,Graduate,Single,$80K - $120K,Gold,36,4,3,3,34516.0,2201,32315.0,0.978,8614.0,63.0,0.75,0.064,0.99724,0.00275658,Voluntary
797491683,Attrited Customer,45,M,5,Unknown,Married,$80K - $120K,Silver,39,2,2,3,34516.0,1964,32552.0,0.624,2234.0,49.0,0.361,0.057,0.99493,0.00507,Involuntary
789684258,Attrited Customer,57,M,2,Post-Graduate,Single,$80K - $120K,Silver,43,2,3,3,34516.0,1847,32669.0,0.557,7842.0,61.0,0.794,0.054,0.9969,0.00309859,Voluntary
719629308,Attrited Customer,55,F,2,Unknown,Single,Unknown,Silver,37,2,2,3,34516.0,1783,32733.0,0.821,8472.0,80.0,0.739,0.052,0.99477,0.00523,Involuntary
716124408,Attrited Customer,32,M,2,Graduate,Single,$120K +,Gold,22,2,2,3,34516.0,1692,32824.0,0.983,7486.0,64.0,0.73,0.049,0.99549,0.00451271,Voluntary
708501783,Attrited Customer,43,M,2,High School,Married,$120K +,Blue,36,6,2,4,34516.0,1477,33039.0,0.324,1868.0,40.0,0.212,0.043,0.99686,0.00313909,Involuntary
807393558,Attrited Customer,51,M,4,Unknown,Single,$120K +,Silver,46,2,3,3,34516.0,1279,33237.0,1.02,4615.0,49.0,0.581,0.037,0.99684,0.00316259,Voluntary
770842833,Attrited Customer,49,F,3,High School,Married,Unknown,Silver,36,2,3,3,34516.0,1273,33243.0,0.977,4777.0,51.0,0.457,0.037,0.99639,0.00361254,Involuntary
716425833,Attrited Customer,38,M,2,Graduate,Single,$120K +,Blue,36,5,2,1,34516.0,1229,33287.0,0.427,1797.0,35.0,0.296,0.036,0.98564,0.01436,Voluntary
720598308,Attrited Customer,47,M,4,Uneducated,Single,$120K +,Blue,37,3,2,6,34516.0,1126,33390.0,0.575,1736.0,35.0,0.4,0.033,0.99907,0.0009337,Involuntary
816378033,Attrited Customer,46,M,4,Uneducated,Single,$80K - $120K,Gold,41,6,3,2,34516.0,1104,33412.0,0.591,1989.0,47.0,0.741,0.032,0.99555,0.00445417,Voluntary
718304583,Attrited Customer,43,M,2,Unknown,Married,$60K - $80K,Gold,33,1,3,2,34516.0,1085,33431.0,1.047,4805.0,54.0,0.588,0.031,0.99563,0.00437002,Involuntary
819943458,Attrited Customer,57,M,3,Graduate,Single,$120K +,Blue,52,6,4,3,34516.0,1000,33516.0,0.694,1777.0,37.0,0.542,0.029,0.99737,0.0026282,Voluntary
788943333,Attrited Customer,51,M,3,Post-Graduate,Married,$80K - $120K,Silver,37,6,2,2,34516.0,989,33527.0,1.021,4810.0,55.0,0.341,0.029,0.9921,0.0079,Involuntary
770968383,Attrited Customer,41,M,4,Graduate,Married,$80K - $120K,Silver,28,3,2,3,34516.0,825,33691.0,0.616,2022.0,52.0,0.733,0.024,0.99452,0.00548,Voluntary
713242383,Attrited Customer,39,M,2,Uneducated,Married,$120K +,Silver,19,2,1,2,34516.0,796,33720.0,0.841,7721.0,75.0,0.667,0.023,0.98083,0.01917,Involuntary
715319958,Attrited Customer,48,M,3,Uneducated,Married,$120K +,Blue,36,5,2,4,34516.0,787,33729.0,0.763,1312.0,32.0,0.6,0.023,0.99714,0.00286097,Voluntary
713053383,Attrited Customer,42,M,3,Graduate,Married,$80K - $120K,Blue,36,1,1,3,34516.0,781,33735.0,0.803,853.0,12.0,0.091,0.023,0.98971,0.01029,Involuntary
708948483,Attrited Customer,54,M,3,Graduate,Married,$80K - $120K,Silver,36,2,3,1,34516.0,761,33755.0,0.838,8444.0,68.0,0.744,0.022,0.99026,0.00974,Voluntary
718376583,Attrited Customer,52,M,2,Graduate,Divorced,$80K - $120K,Silver,44,4,3,2,34516.0,751,33765.0,0.357,5806.0,40.0,0.429,0.022,0.99389,0.00611,Involuntary
811700058,Attrited Customer,41,M,2,Graduate,Single,$60K - $80K,Gold,36,2,3,3,34516.0,687,33829.0,1.015,4822.0,57.0,0.295,0.02,0.99714,0.00286013,Voluntary
712895733,Attrited Customer,40,M,4,Uneducated,Single,$80K - $120K,Blue,36,6,3,2,34516.0,572,33944.0,1.05,8659.0,81.0,1.077,0.017,0.99487,0.00513,Involuntary
716863458,Attrited Customer,44,M,2,Uneducated,Single,$80K - $120K,Silver,36,2,3,3,34516.0,569,33947.0,0.919,8570.0,68.0,0.789,0.016,0.99646,0.00354449,Voluntary
758753283,Attrited Customer,52,M,3,Doctorate,Married,$120K +,Blue,45,1,3,3,34516.0,550,33966.0,0.674,7341.0,71.0,0.732,0.016,0.9978,0.00219584,Involuntary
714190983,Attrited Customer,51,F,2,Graduate,Single,Unknown,Platinum,32,2,3,3,34516.0,531,33985.0,0.98,5418.0,65.0,0.711,0.015,0.9981,0.00189855,Voluntary
754443033,Attrited Customer,50,M,1,Graduate,Single,$80K - $120K,Silver,43,6,3,3,34516.0,432,34084.0,0.807,9045.0,72.0,1.0,0.013,0.99612,0.0038814,Involuntary
714145233,Attrited Customer,34,M,0,Graduate,Divorced,$80K - $120K,Silver,24,1,2,3,34516.0,400,34116.0,0.202,5112.0,49.0,0.256,0.012,0.99331,0.00669,Voluntary
789013833,Attrited Customer,50,M,2,High School,Married,$120K +,Silver,37,5,2,1,34516.0,399,34117.0,0.726,2118.0,41.0,0.519,0.012,0.98369,0.01631,Involuntary
715830558,Attrited Customer,50,M,2,Uneducated,Unknown,$120K +,Blue,38,6,2,1,34516.0,397,34119.0,0.914,7454.0,81.0,0.841,0.012,0.98603,0.01397,Voluntary
757291008,Attrited Customer,46,M,4,Unknown,Married,$80K - $120K,Blue,39,3,3,2,34516.0,289,34227.0,0.95,8964.0,76.0,1.054,0.008,0.9952,0.00479863,Involuntary
813053733,Attrited Customer,53,M,4,Unknown,Single,$120K +,Blue,48,3,3,4,34516.0,278,34238.0,0.817,3029.0,49.0,0.4,0.008,0.99832,0.00167742,Voluntary
712768983,Attrited Customer,51,M,4,Graduate,Single,$80K - $120K,Silver,42,6,4,2,34516.0,230,34286.0,1.004,8629.0,65.0,0.548,0.007,0.99517,0.00483011,Involuntary
718812708,Attrited Customer,57,M,2,Graduate,Single,$120K +,Blue,44,5,3,4,34516.0,219,34297.0,0.482,1882.0,48.0,0.714,0.006,0.99807,0.00193323,Voluntary
720815208,Attrited Customer,52,M,0,High School,Single,$120K +,Blue,39,5,3,3,34516.0,216,34300.0,0.556,2395.0,47.0,0.306,0.006,0.99605,0.00394582,Involuntary
815539233,Attrited Customer,54,M,4,High School,Single,$80K - $120K,Silver,49,1,3,4,34516.0,214,34302.0,0.0,1201.0,22.0,0.0,0.006,0.9979,0.00209822,Voluntary
710812533,Attrited Customer,46,F,3,High School,Single,Unknown,Silver,36,4,2,3,34516.0,154,34362.0,0.602,1987.0,46.0,0.586,0.004,0.9943,0.0057,Involuntary
712030833,Attrited Customer,48,M,2,Graduate,Married,$60K - $80K,Silver,35,2,4,4,34516.0,0,34516.0,0.763,691.0,15.0,0.5,0.0,0.99823,0.00177065,Voluntary
809951133,Attrited Customer,54,M,3,College,Single,$120K +,Blue,49,3,2,3,34516.0,0,34516.0,1.203,2115.0,24.0,0.263,0.0,0.99485,0.00515,Involuntary
713206683,Attrited Customer,40,M,4,Graduate,Single,$80K - $120K,Silver,22,3,1,3,34516.0,0,34516.0,0.64,1028.0,26.0,0.3,0.0,0.98874,0.01126,Voluntary
790145733,Attrited Customer,40,M,3,College,Single,$80K - $120K,Silver,33,1,3,4,34516.0,0,34516.0,0.927,1112.0,26.0,0.368,0.0,0.99788,0.00212041,Involuntary
791856033,Attrited Customer,45,M,2,College,Divorced,$80K - $120K,Blue,39,3,4,4,34516.0,0,34516.0,1.014,1041.0,27.0,0.35,0.0,0.99835,0.00164579,Voluntary
713021208,Attrited Customer,55,F,2,College,Single,Unknown,Silver,36,2,3,3,34516.0,0,34516.0,0.399,1353.0,40.0,0.212,0.0,0.99625,0.00374779,Involuntary
821149008,Attrited Customer,52,M,2,Graduate,Single,$80K - $120K,Blue,48,6,2,4,34516.0,0,34516.0,0.539,1661.0,40.0,0.6,0.0,0.99695,0.00305189,Voluntary
715570533,Attrited Customer,48,M,3,Post-Graduate,Unknown,$120K +,Blue,35,2,2,6,34516.0,0,34516.0,0.464,1632.0,44.0,0.333,0.0,0.99918,0.00082469,Involuntary
811035483,Attrited Customer,47,M,3,Uneducated,Divorced,$120K +,Silver,42,2,4,5,34516.0,0,34516.0,0.521,1641.0,35.0,0.591,0.0,0.99904,0.00095977,Voluntary
779502333,Attrited Customer,50,M,4,Graduate,Single,$120K +,Silver,32,5,3,2,34516.0,0,34516.0,0.321,1480.0,37.0,0.276,0.0,0.99417,0.00583,Involuntary
711205758,Attrited Customer,45,M,3,College,Single,$80K - $120K,Silver,33,1,3,3,34516.0,0,34516.0,1.492,2534.0,43.0,0.433,0.0,0.99639,0.00361221,Voluntary
719874633,Attrited Customer,44,M,1,High School,Unknown,$80K - $120K,Gold,36,2,2,3,34516.0,0,34516.0,0.596,1891.0,34.0,0.214,0.0,0.99506,0.00494341,Involuntary
715664808,Attrited Customer,43,M,2,Graduate,Single,$80K - $120K,Blue,30,3,3,3,34516.0,0,34516.0,0.688,2427.0,51.0,0.645,0.0,0.99671,0.00329379,Voluntary
809599158,Attrited Customer,48,M,4,Uneducated,Single,$80K - $120K,Silver,43,2,3,4,34516.0,0,34516.0,0.671,1626.0,28.0,0.4,0.0,0.99802,0.00198404,Involuntary
714864333,Attrited Customer,43,M,2,College,Divorced,$120K +,Blue,37,4,1,2,34516.0,0,34516.0,0.536,1370.0,38.0,0.357,0.0,0.98167,0.01833,Voluntary
713526258,Attrited Customer,47,M,3,Uneducated,Single,$120K +,Blue,36,3,3,4,34516.0,0,34516.0,0.517,2020.0,33.0,0.375,0.0,0.99819,0.00181217,Involuntary
817607358,Attrited Customer,44,F,2,High School,Unknown,Unknown,Gold,35,3,3,3,34516.0,0,34516.0,0.767,2227.0,44.0,0.63,0.0,0.99706,0.00294187,Voluntary
779931783,Attrited Customer,52,M,2,High School,Single,$120K +,Blue,38,6,3,3,34516.0,0,34516.0,0.639,2213.0,47.0,0.382,0.0,0.99661,0.00338788,Involuntary
808747233,Attrited Customer,50,M,2,Doctorate,Married,$120K +,Silver,45,6,3,3,34516.0,0,34516.0,0.771,2573.0,55.0,0.719,0.0,0.99748,0.00252095,Voluntary
719516208,Attrited Customer,54,M,2,College,Single,$120K +,Blue,36,3,2,3,34516.0,0,34516.0,0.628,2329.0,47.0,0.516,0.0,0.99466,0.00534,Involuntary
710410158,Attrited Customer,49,M,2,Graduate,Unknown,$80K - $120K,Blue,38,3,4,3,34516.0,0,34516.0,0.482,1592.0,35.0,0.346,0.0,0.99727,0.00272694,Voluntary
720460083,Attrited Customer,45,F,4,Unknown,Single,Unknown,Gold,27,1,2,3,34516.0,0,34516.0,0.331,2198.0,42.0,0.355,0.0,0.99608,0.00391691,Involuntary
711854808,Attrited Customer,41,M,3,High School,Married,$120K +,Blue,32,2,2,1,34516.0,0,34516.0,0.965,4734.0,57.0,0.541,0.0,0.98576,0.01424,Voluntary
780450708,Attrited Customer,58,M,1,College,Single,$120K +,Silver,45,1,3,2,34516.0,0,34516.0,0.964,4864.0,48.0,0.548,0.0,0.9933,0.0067,Involuntary
714342033,Attrited Customer,52,M,1,High School,Married,$120K +,Blue,34,2,3,1,34516.0,0,34516.0,1.038,4863.0,56.0,0.474,0.0,0.99,0.01,Voluntary
717696333,Attrited Customer,44,M,4,Unknown,Married,$120K +,Blue,36,4,3,3,34516.0,0,34516.0,1.043,5425.0,60.0,0.875,0.0,0.99714,0.00285845,Involuntary
718353633,Attrited Customer,50,M,1,Post-Graduate,Unknown,$80K - $120K,Gold,36,2,3,2,34516.0,0,34516.0,1.032,5547.0,75.0,0.744,0.0,0.99565,0.00434923,Voluntary
719071158,Attrited Customer,54,F,0,Graduate,Single,Unknown,Platinum,38,2,2,2,34516.0,0,34516.0,0.695,3901.0,54.0,0.421,0.0,0.99414,0.00586,Involuntary
718113633,Attrited Customer,41,M,3,Uneducated,Married,$120K +,Blue,36,1,2,3,34516.0,0,34516.0,0.377,5603.0,56.0,0.244,0.0,0.99513,0.00487126,Voluntary
718458858,Attrited Customer,41,M,4,Graduate,Single,$80K - $120K,Silver,29,2,3,6,34516.0,0,34516.0,0.434,3526.0,53.0,0.828,0.0,0.99933,0.00067247,Involuntary
720353808,Attrited Customer,34,M,3,High School,Unknown,$80K - $120K,Silver,21,1,2,3,34516.0,0,34516.0,0.794,9177.0,50.0,1.083,0.0,0.9943,0.0057,Voluntary
715645908,Attrited Customer,59,M,0,High School,Single,$80K - $120K,Gold,48,5,2,6,34516.0,0,34516.0,0.969,8480.0,71.0,0.821,0.0,0.99895,0.00104747,Involuntary
710980383,Attrited Customer,53,M,3,High School,Single,$80K - $120K,Silver,33,2,2,3,34516.0,0,34516.0,0.534,6361.0,74.0,1.114,0.0,0.9943,0.0057,Voluntary
826245858,Attrited Customer,50,M,2,Graduate,Single,$80K - $120K,Silver,40,3,4,6,34516.0,0,34516.0,0.801,7661.0,79.0,1.079,0.0,0.99942,0.00058361,Involuntary
768712383,Attrited Customer,51,M,5,Graduate,Divorced,$120K +,Blue,45,6,3,6,34516.0,0,34516.0,0.757,8173.0,91.0,1.022,0.0,0.99938,0.00061727,Voluntary
714136233,Attrited Customer,53,M,4,Graduate,Married,$120K +,Blue,38,5,2,3,34516.0,0,34516.0,0.854,8417.0,72.0,0.714,0.0,0.99504,0.00495524,Involuntary
712766208,Attrited Customer,45,M,5,Uneducated,Single,$120K +,Silver,36,4,2,1,34516.0,0,34516.0,0.732,8603.0,84.0,0.615,0.0,0.98504,0.01496,Voluntary
716644008,Attrited Customer,55,M,3,Graduate,Single,$120K +,Silver,36,4,3,4,34516.0,0,34516.0,1.007,9931.0,70.0,0.75,0.0,0.99794,0.00206163,Involuntary
708564858,Attrited Customer,33,M,2,College,Married,$120K +,Gold,20,2,1,4,34516.0,0,34516.0,1.004,9338.0,73.0,0.622,0.0,0.99438,0.00562,Voluntary
789497283,Attrited Customer,50,M,2,High School,Single,$120K +,Blue,42,1,3,2,34162.0,1723,32439.0,0.429,7572.0,56.0,0.697,0.05,0.99431,0.00569,Involuntary
718665033,Attrited Customer,44,M,5,Doctorate,Single,$60K - $80K,Silver,36,2,3,4,34140.0,0,34140.0,0.877,8177.0,76.0,0.52,0.0,0.99857,0.00143279,Voluntary
719593608,Attrited Customer,56,M,1,Uneducated,Married,$80K - $120K,Blue,36,6,2,1,33870.0,0,33870.0,0.872,7661.0,61.0,0.525,0.0,0.98513,0.01487,Involuntary
711012783,Attrited Customer,43,M,4,Graduate,Single,$120K +,Blue,36,1,3,4,33384.0,0,33384.0,0.631,2066.0,46.0,0.769,0.0,0.99816,0.00184351,Voluntary
720122808,Attrited Customer,52,M,2,High School,Married,$60K - $80K,Silver,35,4,4,3,33180.0,511,32669.0,0.681,797.0,14.0,0.273,0.015,0.9969,0.00310334,Involuntary
759584958,Attrited Customer,51,F,1,Graduate,Married,Unknown,Silver,44,4,2,4,33004.0,2418,30586.0,0.923,10156.0,72.0,0.946,0.073,0.9964,0.0035965,Voluntary
713741358,Attrited Customer,46,M,5,Graduate,Single,$80K - $120K,Blue,33,6,3,3,32975.0,2517,30458.0,0.658,597.0,17.0,0.7,0.076,0.99681,0.00319072,Involuntary
819610908,Attrited Customer,38,M,2,Uneducated,Single,$80K - $120K,Blue,33,1,4,4,32938.0,2089,30849.0,0.72,1137.0,26.0,0.238,0.063,0.99844,0.00155634,Voluntary
712038258,Attrited Customer,48,M,4,Unknown,Single,$80K - $120K,Blue,36,3,3,3,32838.0,1717,31121.0,0.995,2538.0,42.0,0.4,0.052,0.99714,0.00285845,Involuntary
711746133,Attrited Customer,50,M,1,Unknown,Single,$120K +,Blue,37,4,3,2,32563.0,0,32563.0,1.013,9220.0,81.0,0.884,0.0,0.99464,0.00536,Voluntary
709928358,Attrited Customer,40,M,3,Graduate,Single,$80K - $120K,Blue,20,1,2,2,32554.0,0,32554.0,0.872,8528.0,87.0,1.122,0.0,0.99161,0.00839,Involuntary
720362058,Attrited Customer,57,M,2,Uneducated,Single,$60K - $80K,Silver,49,4,3,3,32182.0,0,32182.0,0.52,1937.0,46.0,0.704,0.0,0.99646,0.00354449,Voluntary
710155158,Attrited Customer,37,M,2,Uneducated,Unknown,$80K - $120K,Blue,18,1,1,2,31832.0,518,31314.0,0.972,10201.0,59.0,0.788,0.016,0.98265,0.01735,Involuntary
790051758,Attrited Customer,50,M,2,Graduate,Single,$120K +,Blue,42,2,1,2,31782.0,0,31782.0,1.056,4800.0,53.0,0.395,0.0,0.98217,0.01783,Voluntary
780042633,Attrited Customer,37,F,2,Unknown,Married,Unknown,Silver,21,2,2,2,31718.0,0,31718.0,0.91,7432.0,64.0,0.641,0.0,0.99123,0.00877,Involuntary
772137183,Attrited Customer,52,M,2,Graduate,Single,$120K +,Blue,41,1,3,1,31668.0,810,30858.0,0.643,1822.0,36.0,0.5,0.026,0.99087,0.00913,Voluntary
708197358,Attrited Customer,57,M,2,Uneducated,Unknown,$80K - $120K,Blue,48,4,1,3,30543.0,264,30279.0,0.882,7784.0,63.0,0.703,0.009,0.98961,0.01039,Involuntary
721451208,Attrited Customer,54,M,2,Graduate,Single,$60K - $80K,Silver,45,2,3,2,30540.0,0,30540.0,0.602,1980.0,36.0,0.8,0.0,0.99389,0.00611,Voluntary
808897683,Attrited Customer,53,M,1,Graduate,Single,$80K - $120K,Blue,48,3,3,3,30271.0,1406,28865.0,1.336,3231.0,47.0,0.306,0.046,0.99649,0.00350838,Involuntary
771833433,Attrited Customer,49,M,2,High School,Married,$80K - $120K,Blue,38,3,2,4,29893.0,0,29893.0,0.519,2063.0,48.0,0.846,0.0,0.99686,0.00313909,Voluntary
711249858,Attrited Customer,49,M,4,Unknown,Married,$80K - $120K,Blue,38,2,3,2,29890.0,0,29890.0,0.64,3315.0,47.0,0.382,0.0,0.9952,0.00479863,Involuntary
713399583,Attrited Customer,49,M,2,Unknown,Married,$80K - $120K,Blue,39,2,3,4,29865.0,2097,27768.0,0.902,8636.0,74.0,0.947,0.07,0.99824,0.00175907,Voluntary
718524783,Attrited Customer,40,M,3,High School,Unknown,$80K - $120K,Blue,34,1,3,4,29715.0,0,29715.0,0.399,2128.0,39.0,0.345,0.0,0.99808,0.00191647,Involuntary
712196508,Attrited Customer,46,F,3,High School,Single,Unknown,Blue,34,4,3,3,29543.0,1164,28379.0,0.717,1015.0,27.0,0.35,0.039,0.99673,0.00326528,Voluntary
713003358,Attrited Customer,40,M,3,Graduate,Single,$80K - $120K,Blue,30,2,2,2,29338.0,159,29179.0,1.017,4983.0,40.0,0.379,0.005,0.99161,0.00839,Involuntary
712441308,Attrited Customer,41,F,4,Unknown,Single,Unknown,Blue,25,2,2,3,29295.0,0,29295.0,1.411,9865.0,65.0,0.711,0.0,0.99549,0.00451007,Voluntary
716088783,Attrited Customer,60,M,0,College,Married,$80K - $120K,Blue,50,1,4,2,29239.0,0,29239.0,1.057,8169.0,65.0,0.585,0.0,0.99452,0.00548,Involuntary
716434533,Attrited Customer,40,M,3,High School,Married,$80K - $120K,Blue,36,2,3,4,29149.0,0,29149.0,0.615,2106.0,56.0,0.697,0.0,0.99808,0.00191647,Voluntary
714757083,Attrited Customer,44,M,4,Uneducated,Married,$60K - $80K,Silver,37,1,2,2,29076.0,0,29076.0,0.77,8765.0,84.0,1.211,0.0,0.99106,0.00894,Involuntary
787482033,Attrited Customer,60,M,1,High School,Divorced,$80K - $120K,Blue,48,1,5,3,28930.0,0,28930.0,0.645,2251.0,27.0,0.227,0.0,0.99677,0.003232,Voluntary
770038983,Attrited Customer,37,M,4,High School,Single,$60K - $80K,Silver,31,1,3,3,28831.0,2517,26314.0,0.77,8688.0,69.0,0.769,0.087,0.99643,0.00357448,Involuntary
718220358,Attrited Customer,58,M,1,Graduate,Single,$120K +,Blue,36,2,3,4,28618.0,0,28618.0,0.685,1712.0,41.0,0.414,0.0,0.99794,0.00205937,Voluntary
720698883,Attrited Customer,51,M,1,High School,Single,$80K - $120K,Blue,38,2,3,3,28605.0,0,28605.0,1.054,5524.0,67.0,0.718,0.0,0.99639,0.00360858,Involuntary
709649958,Attrited Customer,62,M,0,Post-Graduate,Divorced,$60K - $80K,Silver,46,4,5,6,28229.0,287,27942.0,0.594,2281.0,45.0,0.552,0.01,0.99937,0.00062537,Voluntary
716053083,Attrited Customer,33,M,2,Graduate,Married,$120K +,Blue,21,2,2,4,27992.0,0,27992.0,0.433,837.0,18.0,1.0,0.0,0.99695,0.00305189,Involuntary
708662583,Attrited Customer,41,M,3,Unknown,Married,$60K - $80K,Silver,29,1,3,4,27945.0,0,27945.0,0.902,8345.0,70.0,1.059,0.0,0.99812,0.00187593,Voluntary
820666083,Attrited Customer,41,M,2,Graduate,Single,$120K +,Blue,37,5,3,4,27742.0,2517,25225.0,0.835,8646.0,85.0,0.977,0.091,0.99807,0.00193323,Involuntary
712979133,Attrited Customer,55,M,4,High School,Married,$80K - $120K,Blue,41,2,2,2,27560.0,900,26660.0,1.031,646.0,10.0,0.25,0.033,0.99146,0.00854,Voluntary
719443683,Attrited Customer,50,M,1,Unknown,Single,$120K +,Blue,39,3,2,3,27512.0,2137,25375.0,1.048,1149.0,25.0,0.562,0.078,0.99496,0.00504,Involuntary
709309308,Attrited Customer,50,M,3,College,Unknown,$80K - $120K,Blue,37,1,3,2,27186.0,0,27186.0,0.504,1704.0,34.0,0.478,0.0,0.99452,0.00548,Voluntary
720272958,Attrited Customer,48,M,2,High School,Married,$120K +,Blue,36,3,3,3,27126.0,0,27126.0,0.953,1000.0,25.0,0.786,0.0,0.99661,0.00338788,Involuntary
709865883,Attrited Customer,38,M,2,High School,Divorced,$60K - $80K,Silver,25,1,2,3,26794.0,821,25973.0,0.848,8788.0,58.0,0.933,0.031,0.99409,0.00591,Voluntary
717368208,Attrited Customer,49,M,1,Graduate,Single,$120K +,Blue,36,6,2,4,26723.0,0,26723.0,0.716,2138.0,43.0,0.593,0.0,0.99675,0.00325077,Involuntary
711334983,Attrited Customer,41,F,3,High School,Married,Unknown,Blue,32,1,2,4,26229.0,0,26229.0,0.504,2077.0,46.0,0.643,0.0,0.99697,0.00302546,Voluntary
716390958,Attrited Customer,45,M,4,Unknown,Married,$120K +,Blue,31,1,4,3,26107.0,0,26107.0,0.55,1697.0,47.0,0.424,0.0,0.99763,0.00236635,Involuntary
715150983,Attrited Customer,44,F,3,Unknown,Single,Unknown,Blue,34,2,3,3,26021.0,0,26021.0,1.04,8898.0,60.0,0.538,0.0,0.99711,0.00288892,Voluntary
801380808,Attrited Customer,44,M,2,Doctorate,Married,$80K - $120K,Blue,38,1,2,1,25894.0,2517,23377.0,1.046,4847.0,49.0,0.815,0.097,0.99003,0.00997,Involuntary
794273283,Attrited Customer,51,M,3,Uneducated,Single,$80K - $120K,Blue,45,3,3,3,25670.0,0,25670.0,0.952,2709.0,51.0,0.645,0.0,0.99691,0.00308778,Voluntary
798022683,Attrited Customer,43,M,1,Graduate,Married,$80K - $120K,Blue,37,4,2,3,25517.0,321,25196.0,0.769,2508.0,44.0,0.294,0.013,0.99447,0.00553,Involuntary
718279008,Attrited Customer,44,M,3,High School,Single,$60K - $80K,Silver,36,5,2,3,25276.0,0,25276.0,0.849,2282.0,38.0,0.583,0.0,0.9943,0.0057,Voluntary
