CLIENTNUM,Attrition_Flag,Attrition_Type,review,date,City,zipcode,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
807393558,Attrited Customer,Voluntary,"App not working. This is the ONLY way to manage your Argos card. Unable to see balance, make payment or even open the app it just sits with a spinner.",27-May-25,St. John's,K0A2Z0,51,M,4,Unknown,Single,$120K +,Silver,46,2,3,3,34516,1279,33237,1.02,4615,49,0.581,0.037,0.99684,0.00316259
716425833,Attrited Customer,Voluntary,They try to find any excuse to close the card when late payment & the interest is very high . AVOID!!,21-May-25,Canmore,K0A3C0,38,M,2,Graduate,Single,$120K +,Blue,36,5,2,1,34516,1229,33287,0.427,1797,35,0.296,0.036,0.98564,0.01436
816378033,Attrited Customer,Voluntary,They are awful & no manners or sympathy. They talk down to you & have arrogant attitude.,21-May-25,Medicine Hat,K0A3E0,46,M,4,Uneducated,Single,$80K - $120K,Gold,41,6,3,2,34516,1104,33412,0.591,1989,47,0.741,0.032,0.99555,0.00445417
819943458,Attrited Customer,Voluntary,"Argos have not been the same sine the takeover . I have an Argos card and have done for years but, now they have changed their credit terms i will not be using them again . My card is now cut up and in the bin .",14-May-25,Medicine Hat,K0B1A0,57,M,3,Graduate,Single,$120K +,Blue,52,6,4,3,34516,1000,33516,0.694,1777,37,0.542,0.029,0.99737,0.0026282
770968383,Attrited Customer,Voluntary,"WOULD GIVE MINUS POINTS . CUSTOMER SERVICE AWFUL . THEY DO NOT HELP THE CUSTOMER AT ALL . THEY HAVE ZERO RESPECT FOR THE CUSTOMER . NO SUPPORT GIVEN WHEN ISSUES HAPPEN , NO RESPONSIBILITY TAKEN . THE WHOLE EXPERIENCE IS DIFFICULT TO DEAL WITH . HOPEFULLY PAYING OFF IN THE NEXT MONTH . PLEASE AVOID .",22-Feb-25,Brooks,K0B1B0,41,M,4,Graduate,Married,$80K - $120K,Silver,28,3,2,3,34516,825,33691,0.616,2022,52,0.733,0.024,0.99452,0.00548
715319958,Attrited Customer,Voluntary,"This card is good but Argoscard are really missing a few tricks to make so much modern and usable a few changes would make it great, like being able to use to pay online with Argos and Sainsburyís online shopping if it had this it would be spot on at the moment it is very limited.",15-Apr-25,Charlottetown,K0B1M0,48,M,3,Uneducated,Married,$120K +,Blue,36,5,2,4,34516,787,33729,0.763,1312,32,0.6,0.023,0.99714,0.00286097
708948483,Attrited Customer,Voluntary,While the card is good and the deals are great they're money stealing criminals!!,31-Mar-25,Dauphin,K0B1N0,54,M,3,Graduate,Married,$80K - $120K,Silver,36,2,3,1,34516,761,33755,0.838,8444,68,0.744,0.022,0.99026,0.00974
811700058,Attrited Customer,Voluntary,Need to pay off normal credit with interest coming soon as £100+ so I pay that and it goes to another buy now pay later plan. So now I have to give them more. Now I'm massively in debt.,31-Mar-25,Red Deer,K0B1P0,41,M,2,Graduate,Single,$60K - $80K,Gold,36,2,3,3,34516,687,33829,1.015,4822,57,0.295,0.02,0.99714,0.00286013
716863458,Attrited Customer,Voluntary,"I've had an argos card for many years but recently I've notice they don't apply your payment correctly I mostly buy on bnpl and clear it in time the odd occasion I've had to put things, on normal credit, now when you pay your minimum payment amount or more they actually take it off the bnpl and not normal credit so they can put interest on for the next month for example I recently paid the full amount on the normal credit because they say I will incur £100 plus interest the following month but then I look on my statement to see they deducted that from a bnpl which ends in 4months! So I rang and as usual you can't speak to anyone. And I pay interest! So warning NEVER EVER use your argos card on a normal credit try to do it bnpl or not at all they scam you out of 100s unnecessarily!! Lesson learnt for me! ??",29-Mar-25,Halifax,K0B1R0,44,M,2,Uneducated,Single,$80K - $120K,Silver,36,2,3,3,34516,569,33947,0.919,8570,68,0.789,0.016,0.99646,0.00354449
714190983,Attrited Customer,Voluntary,I am outraged that Truspilot is notÖ Warning! Argos credit card scams people,22-Mar-25,Cranbrook,K0C1G0,51,F,2,Graduate,Single,Unknown,Platinum,32,2,3,3,34516,531,33985,0.98,5418,65,0.711,0.015,0.9981,0.00189855
714145233,Attrited Customer,Voluntary,People should start a class action lawsuit and take Argos to court!,22-Mar-25,Regina,K0C1H0,34,M,0,Graduate,Divorced,$80K - $120K,Silver,24,1,2,3,34516,400,34116,0.202,5112,49,0.256,0.012,0.99331,0.00669
715830558,Attrited Customer,Voluntary,The Argos credit card is hopeless and dangerous especially if someone has a good credit history or not.,22-Mar-25,Camrose,K0C1R0,50,M,2,Uneducated,Unknown,$120K +,Blue,38,6,2,1,34516,397,34119,0.914,7454,81,0.841,0.012,0.98603,0.01397
813053733,Attrited Customer,Voluntary,I would get in trouble for applying for an Argos credit card.,22-Mar-25,Truro,K0C1V0,53,M,4,Unknown,Single,$120K +,Blue,48,3,3,4,34516,278,34238,0.817,3029,49,0.4,0.008,0.99832,0.00167742
718812708,Attrited Customer,Voluntary,After reading all the reviews I was put off by the thought of applying.,22-Mar-25,Truro,K0C1Z0,57,M,2,Graduate,Single,$120K +,Blue,44,5,3,4,34516,219,34297,0.482,1882,48,0.714,0.006,0.99807,0.00193323
815539233,Attrited Customer,Voluntary,I feel sorry for all the people who have an Argos credit card!,22-Mar-25,Montreal,K0C2A0,54,M,4,High School,Single,$80K - $120K,Silver,49,1,3,4,34516,214,34302,0,1201,22,0,0.006,0.9979,0.00209822
712030833,Attrited Customer,Voluntary,"I have to agree with all the other recent negative comments. The advantages of paying by card have been substantially reduced and it is impossible to contact them on anything other than an order. The final straw is that they have moved to AnyDay, a company I have had bad dealings with before, causing me to cancel my Waitrose card. Like is too stressful to have issues with contacting a retailer and I have noticed that their prices on many things are no longer competitive. I have cancelled my card like many others and many yet to come I suspect.",15-Mar-25,Moose Jaw,K0C2K0,48,M,2,Graduate,Married,$60K - $80K,Silver,35,2,4,4,34516,0,34516,0.763,691,15,0.5,0,0.99823,0.00177065
713206683,Attrited Customer,Voluntary,And I request to increase credit limit but they donít increase Crecit limit while Iím eligible for 25k loan with Lloyds and all other banks are offering me.,23-Feb-25,Canmore,K0E1C0,40,M,4,Graduate,Single,$80K - $120K,Silver,22,3,1,3,34516,0,34516,0.64,1028,26,0.3,0,0.98874,0.01126
791856033,Attrited Customer,Voluntary,I will suggest if you thinking to purchase more then thousand pound things with Argos then try another options because they will not offer more then £800.,23-Feb-25,Port Alberni,K0E1V0,45,M,2,College,Divorced,$80K - $120K,Blue,39,3,4,4,34516,0,34516,1.014,1041,27,0.35,0,0.99835,0.00164579
821149008,Attrited Customer,Voluntary,"Just had a message from argos saying ""my card is up for renewal but they have looked at my account and won't renew it"" I have been with them about 8 years with no problems always pay on time, but the last 2 payment they asked for it earlier than usual and saying 2 late payment, they have gone down hill terrible company, I am not interested in another card , I have been paying regualy but my balance don't seem to go down, this company needs looking into. Rip off company.",13-Feb-25,Selkirk,K0E1W0,52,M,2,Graduate,Single,$80K - $120K,Blue,48,6,2,4,34516,0,34516,0.539,1661,40,0.6,0,0.99695,0.00305189
811035483,Attrited Customer,Voluntary,"I set up a direct debit in December so I wouldn't miss my first payment in January. I received a text the day after payment should have gone through saying it's late. Turns out you have to allow a full month for DD to be set up. They wouldn't waive the late payment charge, which was twice the amount of my minimum payment. Great customer service, makes me feel really valued lol.",25-Jan-25,London,K0G1G0,47,M,3,Uneducated,Divorced,$120K +,Silver,42,2,4,5,34516,0,34516,0.521,1641,35,0.591,0,0.99904,0.00095977
711205758,Attrited Customer,Voluntary,Argos card has gone really bad since it has been taken over. As should have kept all the conditions as they were. Instead of changing everything as was good before they changed n got taken over by a third party ????,22-Jan-25,Toronto,K0G1L0,45,M,3,College,Single,$80K - $120K,Silver,33,1,3,3,34516,0,34516,1.492,2534,43,0.433,0,0.99639,0.00361221
715664808,Attrited Customer,Voluntary,Argos card has gone down hill,22-Jan-25,Ottawa,K0G1N0,43,M,2,Graduate,Single,$80K - $120K,Blue,30,3,3,3,34516,0,34516,0.688,2427,51,0.645,0,0.99671,0.00329379
714864333,Attrited Customer,Voluntary,Poor customer service infect there is no customer care service at you just type pad are trying to explain to a BOT unreal,20-Jan-25,Thompson,K0G1S0,43,M,2,College,Divorced,$120K +,Blue,37,4,1,2,34516,0,34516,0.536,1370,38,0.357,0,0.98167,0.01833
817607358,Attrited Customer,Voluntary,"I have had my Argos card since 2017 always paying it off in full and on time to avoid the deferred interest. More recently they added a small amount of interest as a payment was allocated to a different statement balance. Not happy it will be the first and last £4.26 you rob from me. Attempted to enquire with customer services for resolution only to be met with rude, arrogant and disrespectful staff members. Wholly unprofessional. I am not enamoured with the NewDay take over either. There are items of far superior quality from other well known stores for less and with outstanding customer service. Iím out!",11-Jan-25,St. John's,K0G1V0,44,F,2,High School,Unknown,Unknown,Gold,35,3,3,3,34516,0,34516,0.767,2227,44,0.63,0,0.99706,0.00294187
808747233,Attrited Customer,Voluntary,Unprofessional,11-Jan-25,Cochrane,K0H1B0,50,M,2,Doctorate,Married,$120K +,Silver,45,6,3,3,34516,0,34516,0.771,2573,55,0.719,0,0.99748,0.00252095
710410158,Attrited Customer,Voluntary,Punishes customers for paying?,6-Jan-25,Port Alberni,K0H1G0,49,M,2,Graduate,Unknown,$80K - $120K,Blue,38,3,4,3,34516,0,34516,0.482,1592,35,0.346,0,0.99727,0.00272694
711854808,Attrited Customer,Voluntary,... however in recent times they have gone way downhill I have an immaculate credit score and always manage to pay things off early recently (this has happened 3 times) I make a payment early that will be on a 3 or 6 month plan then all of a sudden they decide to change this to normal credit! How the hell is this fair on your customers especially the ones that really want to make sure things are always paid off!,6-Jan-25,Kelowna,K0H1H0,41,M,3,High School,Married,$120K +,Blue,32,2,2,1,34516,0,34516,0.965,4734,57,0.541,0,0.98576,0.01424
714342033,Attrited Customer,Voluntary,surely this cant be legal if i had agreed to a certain plan you shouldn't chance it beware and stay away from these shady and immoral buisness practices!,6-Jan-25,Canmore,K0H1P0,52,M,1,High School,Married,$120K +,Blue,34,2,3,1,34516,0,34516,1.038,4863,56,0.474,0,0.99,0.01
718353633,Attrited Customer,Voluntary,Not to mention when they put things on a normal credit they add interest? Why because I decided I wanted to pay?!,6-Jan-25,Innisfil,K0H1Z0,50,M,1,Post-Graduate,Unknown,$80K - $120K,Gold,36,2,3,2,34516,0,34516,1.032,5547,75,0.744,0,0.99565,0.00434923
718113633,Attrited Customer,Voluntary,"I have been an Argos card holder for years. It's been great for small household items, as the interest free credit below £100 has ensured I've purchased items there. However, now this only kicks in over £99 for 3 months and £199 for 6. Small items are charged at 34.9%. I'll use my much cheaper (interest free) credit card instead.",6-Jan-25,Truro,K0H2L0,41,M,3,Uneducated,Married,$120K +,Blue,36,1,2,3,34516,0,34516,0.377,5603,56,0.244,0,0.99513,0.00487126
720353808,Attrited Customer,Voluntary,"+ 0.66 interest on 23/01/25.No mention of any payment + late payment I had made in December 2024.The cheque I sent you has cleared.Why would you not have that last payment made on the account printed on the statement? Hopefully you can provide some clarity? Shocking customer service.Argos will now no longer provide a service online @ My Argos card.You either need to pay on a App or Cheque.Hopefully I will not have to deal with these pirates in the near future.I rang your automated line tonight, the recorded voice on the phone sounded abysmal.Argos are stuck in a time warp! Good luck to Customers, who like me have had the misfortune to have a credit card with them!",4-Jan-25,Val-d'Or,K0H2R0,34,M,3,High School,Unknown,$80K - $120K,Silver,21,1,2,3,34516,0,34516,0.794,9177,50,1.083,0,0.9943,0.0057
710980383,Attrited Customer,Voluntary,Abysmal,4-Jan-26,Happy Valley-Goose Bay,K0H2T0,53,M,3,High School,Single,$80K - $120K,Silver,33,2,2,3,34516,0,34516,0.534,6361,74,1.114,0,0.9943,0.0057
768712383,Attrited Customer,Voluntary,"I owned a Argos credit card, paid the Balance outstanding by cheque £1,065.02. In November 2024.I then received a statement to advise my November payment by cheque which according to Argos did not arrive in time by 23rd.Argos then charged me a late payment & a further monthly interest payment.I then paid this amount by cheque In mid December.I then received a statement today 04/01/25 to advise I need to pay 39.05",4-Jan-27,Sept-√É≈Ωles,K0H2V0,51,M,5,Graduate,Divorced,$120K +,Blue,45,6,3,6,34516,0,34516,0.757,8173,91,1.022,0,0.99938,0.00061727
712766208,Attrited Customer,Voluntary,Big con. Store card you can only pay with your debit card and you can't do balance transfers. AVOID!!! READ ALL NEGATIVE FEEDBACK ON HERE,24-Dec-24,Whitehorse,K0J1C0,45,M,5,Uneducated,Single,$120K +,Silver,36,4,2,1,34516,0,34516,0.732,8603,84,0.615,0,0.98504,0.01496
708564858,Attrited Customer,Voluntary,You donít deserve the one star Argos. Will no longer be using Argos now that newday have taken over this card. You donít get the 6 / 12 interest free now as much as you did. Sorry but Iím out.,8-Dec-24,Kitchener,K0J1E0,33,M,2,College,Married,$120K +,Gold,20,2,1,4,34516,0,34516,1.004,9338,73,0.622,0,0.99438,0.00562
718665033,Attrited Customer,Voluntary,You donít deserve the one star Argos,8-Dec-24,Oshawa,K0J1L0,44,M,5,Doctorate,Single,$60K - $80K,Silver,36,2,3,4,34140,0,34140,0.877,8177,76,0.52,0,0.99857,0.00143279
711012783,Attrited Customer,Voluntary,Really annoyed with this company firstly after taking out a card I'm told they have sold the card to another company then since charged twice for a purchase that I'm sure they were trying to charge interest on Also when I made another payment it was took off so paid three times then the next purchase was left on.,30-Nov-24,Victoria,K0J1N0,43,M,4,Graduate,Single,$120K +,Blue,36,1,3,4,33384,0,33384,0.631,2066,46,0.769,0,0.99816,0.00184351
780008358,Attrited Customer,Voluntary,"The worst customer service I have ever spoken with. pay my acc every month . Even tho I'm payin it they said pay a bit more 2.5the min amount. So I did now they say that I should of payed it a month behind in Oct when I only entered an agreement in Nov, am I meant to read 18 days into the future...... Joanne who is a manager has now sent my acc to the debt complaints team Even tho I am up to date . Argos need to sort out there stuff ASAP or they will be like woolworths GONE !!!!!!!",19-Nov-24,Red Deer,K1B3Y1,59,M,0,Uneducated,Unknown,$60K - $80K,Blue,48,2,6,2,13172,0,13172,0.876,2598,47,0.621,0,0.99208,0.00792
717174558,Attrited Customer,Voluntary,"I've had my Argos card for 8 years, it's the only card I use and found the service brilliant. But unfortunately they have sold out to Newday therefore I will no longer be a customer. I have have experiences with Newday when they took over a credit card I had years ago and it was terrible, I paid it off in full. The interest they were charging was unacceptable. Sorry Argos, I'm out.",13-Nov-24,Camrose,K1B5B4,57,F,1,Uneducated,Single,Less than $40K,Blue,46,2,3,3,9129,0,9129,0.733,7733,81,0.884,0,0.99659,0.00341249
712307283,Attrited Customer,Voluntary,"It's with a very heavy heart I'm leaving a 2 star review ,Argos card use to be great bnpl on 3,6 months over 50 for 3 over 100 for 6 but then they took the 6 away and put in 12 months but you had to buy one item amounting to 199 oh ok wasn't pleased but I made it work but now there just taken the Pixx you now have to spend 499 so 500 quid on 1 item to get the 12 month one CMON ARGOS GET A GRIP WITH REALITY AND THE PPL THAT ARE USING THESE CARDS I've been with Argos card for 15 years but they have definitely lost my costum and believe me I won't be the only one",9-Nov-24,Innisfil,K1B5C2,54,M,1,College,Single,$120K +,Blue,37,6,2,3,9090,2517,6573,0.661,2239,43,0.72,0.277,0.99431,0.00569
709536483,Attrited Customer,Voluntary,Got TV at 12month free interest having making monthly payments.. and planing to pay for it fully 1 week after the plan had finished..it's the only way we could do it.. thinking only a week interest.. would of gone on it but the day after we was slapped with 150pound Interest the day after the plan finished... phoned and they no what there doing scamers...,21-Oct-24,Terrace,K1B5K1,57,M,3,Graduate,Married,$60K - $80K,Blue,49,5,0,3,8701,215,8486,0.527,1999,41,0.414,0.025,0.97266,0.02734
720181758,Attrited Customer,Voluntary,Absolutely crap! The app you cannot set up a DD. Doesnt send notifications until you missed a payment. Save your card details and it gets deleted. Cant set up to pay min unless you call. Statements wont load. Customer services are some numbnut with their own app for their personal account working from home. Disgusting. Make it impossible for you to make payment but quick to wreck ur credit file with a missed payment. No! Bye bye,11-Oct-23,High River,K1B5K6,37,M,0,Doctorate,Married,$120K +,Blue,22,3,3,4,8654,0,8654,0.446,850,18,0.385,0,0.99844,0.00155735
711147483,Attrited Customer,Voluntary,I would like to point out to Argos that I have recently become unhappy with the Argos card it's took me over an hour to purchase something in using this card because every time I try and put my details in it changes and not able to put my name in this is embarrassing Argos as now I will buy nothing else with this card you will be paid off and I will not use you again I have always paid on time and this is what I get from you not acceptable,27-Sep-23,Val-d'Or,K1B5L2,46,F,3,Graduate,Single,Less than $40K,Blue,28,2,2,3,8551,1067,7484,0.931,1097,32,0.778,0.125,0.99499,0.00501
712924383,Attrited Customer,Voluntary,Four phone calls to three people to make a monthly payment after losing my card and their system did not recognise either of my Mastercards,25-Aug-23,Okotoks,K1B5M3,55,M,3,Unknown,Single,$60K - $80K,Blue,36,3,2,2,8411,979,7432,1.029,990,22,0.375,0.116,0.99236,0.00764
769152783,Attrited Customer,Voluntary,"I would give 0 if I could, the amount of interest they charge is shocking. I entered a debt management scheme to pay my debts off I accured due to family emergency reasons. Doing this stops interest rates well supposed to but these scam artists still add it every single month without fail. It took them a year to get that I was in a debt management scheme because they don't answer there emails and it's unmanned",20-Aug-23,Bathurst,K1B5P5,60,F,2,High School,Single,Less than $40K,Blue,54,1,6,2,8141,1811,6330,1.043,5043,53,0.432,0.222,0.99281,0.00719
713104458,Attrited Customer,Voluntary,"Scam of a company. They charge you interest even though you pay more than youíre meant to every month!! Worst decision I ever did was open a card with these, tempted to just cancel the direct debit and deal with the consequences. Canít even email them. Waste of time",17-Aug-23,Dauphin,K1C1E8,46,M,2,Graduate,Single,$40K - $60K,Blue,31,3,3,5,7869,0,7869,0.692,998,25,0.562,0,0.99888,0.00111805
709657533,Attrited Customer,Voluntary,Argos have numerous outstanding complaints being passed to the media for publication prior to christmas,7-Aug-23,Spruce Grove,K1C1J5,44,M,3,High School,Unknown,$120K +,Blue,36,2,3,2,7793,2270,5523,0.945,8260,54,0.5,0.291,0.99452,0.00548
708340758,Attrited Customer,Voluntary,But this matter is far from over and being passed to the media and ombudsman so that they can restore my credit rating that they demolished without warning,7-Aug-24,Innisfil,K1C1J8,41,M,4,High School,Married,Less than $40K,Blue,32,2,3,3,7769,0,7769,0.943,8109,74,0.762,0,0.99677,0.00323086
778506633,Attrited Customer,Voluntary,Argos finally admitted their errors and paid an insulting amount of £50 for all the problems caused.,7-Aug-25,Cochrane,K1C1J9,43,F,4,College,Married,Less than $40K,Blue,23,6,2,3,7706,392,7314,0.764,965,27,0.421,0.051,0.9949,0.0051
789095958,Attrited Customer,Voluntary,"The interest on this card is astronomically high. We paid off the balance and are shutting it down. I will take huge delight in setting alight the argos card and leaving it on my drive way so I can take pleasure in driving over the ashes of that awful store card. Very little options in the way of balance transfers - we ended up getting a bank loan at a lower rate of interest to settle and close the Argos Card. Farewell Argos Card, I will be enjoying driving over the burnt remains of the card on my driveway for the next week!!",27-Jul-23,Brooks,K1C1K2,50,M,1,Unknown,Single,$60K - $80K,Blue,38,4,3,3,7603,744,6859,0.711,2497,42,0.273,0.098,0.99681,0.00319278
711741708,Attrited Customer,Voluntary,"In these time of austerity, Argos are making it very hard to cancel your Argos card.",10-Oct-22,Camrose,K1C1K8,41,M,3,Post-Graduate,Unknown,$80K - $120K,Blue,33,3,2,3,7591,0,7591,0.648,2302,42,0.5,0,0.99574,0.00425916
720178158,Attrited Customer,Voluntary,So so. Not the best in the world,4-Oct-22,Rimouski,K1C1L7,46,F,4,High School,Unknown,Less than $40K,Blue,37,5,3,3,7552,0,7552,1.047,5537,63,0.853,0,0.99677,0.00323086
711332883,Attrited Customer,Voluntary,"I lost my card and ordered a new one and a half months ago, which did not arrive argos claims that the postman delivered to the wrong address donít really understand how he managed that if every door has a number. Since this itís been 3 weeks have passed and still nothing. Poor costumer service trying phone them is almost impossible they just hang up claiming I have a poor signal , even if I have full. Please Argos respond and let me know WHERE IS MY CARD",14-Sep-22,Bathurst,K1C1M5,62,M,1,High School,Single,$60K - $80K,Blue,46,2,3,3,7547,2477,5070,1.021,5294,73,0.698,0.328,0.99639,0.00360858
714543633,Attrited Customer,Voluntary,"It doesnít even deserve one star. Customer services really bad and reading from script. Canít change address, canít change new phone number. Stopped using card ages ago and guess what you canít even access the app when you have a new phone. Customer services not a pleasant experience, they donít even listen or canít be bothered to listen why you canít change any details. Stay away and avoid, not very helpful at all.",13-Sep-22,Edmundston,K1C1M8,45,F,3,Unknown,Single,Less than $40K,Blue,36,1,2,5,7500,0,7500,0.576,8024,78,0.696,0,0.99845,0.00154849
709321908,Attrited Customer,Voluntary,HOW MUCH LATER ? WHEN YOU CAN CHARGE ME A DEFAULT PAYMENT?,6-Sep-22,Clarenville,K1C1N8,47,M,3,High School,Single,$80K - $120K,Blue,29,2,2,3,7498,2319,5179,0.484,1676,51,0.759,0.309,0.99485,0.00515
763895958,Attrited Customer,Voluntary,I HAVE THE GRAND SUM I OWE YOU OF YES WAIT FOR IT..........£1.57............. ONE POUND FIFTY SEVEN PENCE. I HAVE TRIED TO PAY THIS MASSIVE AMOUNT I OWE YOU ON LINE. I TOTALLY REFUSE TO MAKE AND PAY FOR A PHONE CALL WHICH WOULD COST MORE THAN I OWE YOU BUT YOU KEEP TELLING ME THE ON LINE SITE IS HAVING PROBLEMS COME BACK LATER!!!!!!!!!!!!!!,6-Sep-23,Val-d'Or,K1C1P1,53,M,2,High School,Married,$120K +,Blue,46,4,3,1,7474,0,7474,0.858,732,21,0.615,0,0.99061,0.00939
779333883,Attrited Customer,Voluntary,Incompetent company.,27-Aug-22,Summerside,K1C1P5,51,F,3,Uneducated,Married,Less than $40K,Blue,33,3,3,3,7428,0,7428,0.873,8078,62,0.722,0,0.99691,0.00308778
791730183,Attrited Customer,Voluntary,Had an argos card for many years card still valid argos closed my account with no communication from them have spent thousands never defaulted if this is how you treat loyal customers you know you wont get any business from me ever again.,27-Aug-23,Yarmouth,K1C1P8,38,F,2,College,Unknown,Less than $40K,Blue,32,2,2,6,7385,1817,5568,1.029,5070,50,0.389,0.246,0.99896,0.00103551
772394883,Attrited Customer,Voluntary,No one is picking up the phone? What is going on? Tried to reach them for 3 consecutive days and no luck,31-Dec-21,Selkirk,K1C1R1,60,F,1,Uneducated,Single,Unknown,Blue,50,3,6,3,7359,0,7359,0.768,2869,43,0.433,0,0.99568,0.00431907
